Full Text,Label,Analisis,Alasan,
ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews,Positif,Tweet ini menunjukkan dukungan terhadap Ganjar Pranowo dengan menyebutkan makna positif dari “kumpul” yang berarti bersatu.,"Menyebutkan makna positif dari “kumpul” dan mengaitkannya dengan Ganjar Pranowo, menunjukkan dukungan dan kehangatan.",
Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,Netral,"Tweet ini mempertanyakan perubahan pilihan hanya karena film, tanpa menunjukkan dukungan atau penolakan yang jelas terhadap Ganjar.","Tidak menunjukkan dukungan atau penolakan yang jelas terhadap Ganjar, hanya mempertanyakan perubahan pilihan.",
Warga Lebak Dapat Barang Berharga dari Sandiaga Uno: PPP Menang Ganjar Presiden! https://t.co/fu6p2GmDcT #PPPMenang #GanjarMahfudSatset,Positif,Tweet ini mendukung Ganjar Pranowo dengan menyebutkan kemenangan PPP dan Ganjar sebagai presiden.,"Menyebutkan kemenangan PPP dan Ganjar sebagai presiden, menunjukkan dukungan yang jelas.",
@ganjarpranowo Terus berkarya dimanapun dan kapanpun berada alhamdulillah pak ganjar selalu memberikan yang terbaik,Positif,Tweet ini memuji Ganjar Pranowo atas karyanya dan menyatakan rasa syukur.,"Memuji karya Ganjar Pranowo dan menyatakan rasa syukur, menunjukkan dukungan dan apresiasi.",
@ganjarpranowo setuju pak. semoga nanti pak ganjar terus bisa memfasilitasi anak muda nggih,Positif,Tweet ini menunjukkan dukungan dan harapan agar Ganjar Pranowo terus memfasilitasi anak muda.,"Menunjukkan dukungan dan harapan agar Ganjar Pranowo terus memfasilitasi anak muda, menunjukkan kepercayaan dan dukungan.",
H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,Netral,"Tweet ini menunjukkan sikap netral dengan mendukung siapapun yang terpilih sebagai presiden, tanpa menunjukkan preferensi khusus.","Menunjukkan dukungan terhadap siapapun yang terpilih sebagai presiden, tanpa menunjukkan preferensi khusus, sehingga netral.",
Ganjar - Mahfud adalah pasangan yang siap memimpin Indonesia menuju kemajuan jadi jangan ragu untuk memilih mereka. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @azrycha #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XcG6ZoLfmh,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka.,"Mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka, menunjukkan dukungan yang jelas.",
Bukan toketz campaign yak ? ...wkwkwkeke...,Netral,Tweet ini tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,"Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar, sehingga netral.",
@Penyuka_ombak Saya sudah memutuskan untuk pilih n menangkan pak Ganjar Mahfud sihh,Positif,Tweet ini menunjukkan dukungan dan keputusan untuk memilih Ganjar Mahfud.,"Menunjukkan dukungan dan keputusan untuk memilih Ganjar Mahfud, menunjukkan dukungan yang jelas.",
@ganjarpranowo Maju terus Ganjar Mahfud,Positif,Tweet ini mendukung Ganjar Mahfud untuk terus maju.,"Mendukung Ganjar Mahfud untuk terus maju, menunjukkan dukungan yang jelas.",
Anak Kecil Aja Nyaman Sama Pak Ganjar ini membuktikan Bahwa Capres 03 ini mampu memberi kenyamanan pada semua rakyat Indonesia. Semakin #YakinPilihGanjar Bismillah @ganjarpranowo @mohmahfudmd M3nang Pilpres 2024 ini aamiin #GanjarMahfud2024 https://t.co/aytPN6jZhs,Positif,Tweet ini menunjukkan dukungan kuat terhadap Ganjar dengan menyebutkan kenyamanan yang diberikan kepada rakyat.,"Menunjukkan dukungan kuat terhadap Ganjar dengan menyebutkan kenyamanan yang diberikan kepada rakyat, menunjukkan dukungan yang jelas.",
@Ndons_Back @99propaganda @bengkeldodo @are_inismyname @florieliciouss @Bank_Joee_ @BANGSAygSUJUD @AditBandit234 @Lembayung071 @P4P4B0W0_2024 @cuitcuap_ All in 01 dongg kalo sampe kalah pun mendingan pilih nya ke pak ganjar aja aku https://t.co/HE3a1YZv7d,Positif,Tweet ini menunjukkan dukungan terhadap Ganjar dengan menyatakan pilihan untuk memilihnya jika kandidat lain kalah.,"Menunjukkan dukungan terhadap Ganjar dengan menyatakan pilihan untuk memilihnya jika kandidat lain kalah, menunjukkan dukungan yang jelas.",
bro alam ganjar is old kpopers??,Netral,Tweet ini tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.,"Tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar, sehingga netral.",
