full_text,label,analisis,alasan kuat,
@aniesbaswedan @msaid_didu Pak anies sekarang kalau kampanye kok suka nyinyir,Negatif,Tweet ini mengkritik gaya kampanye Anies yang dianggap suka nyinyir.,Penggunaan kata “nyinyir” memiliki konotasi negatif yang menunjukkan ketidaksetujuan atau ketidaksukaan.,
@SumitroYoel Prinsip berpolitik yang penting anti PDIP dan Jokowi. Tapi selain itu ya Anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih.,Positif,Tweet ini memuji Anies karena membuka ruang dialog dan dianggap cerdas.,Frasa “nilai tambah” dan “orang yang cerdas” menunjukkan apresiasi dan pandangan positif terhadap Anies.,
@chitattooes Di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,Negatif,Tweet ini menyebutkan banyaknya komentar kebencian dan fitnah terhadap Anies di media sosial.,"Kata-kata seperti “hate komen”, “kasar”, dan “fitnah” menunjukkan sentimen negatif.",
@SumitroYoel Pak Anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn PKS emang antum @PKSejahtera harus memperbaiki citra *chanda ya ,Netral,Tweet ini membahas hubungan Anies dengan partai politik tanpa menunjukkan sentimen yang jelas.,Tidak ada kata-kata yang secara eksplisit menunjukkan sentimen positif atau negatif.,
@SumitroYoel Njir masih aja partai orens kena hatred.. ngeri sih.. padahal sama-sama di demonisasi kyk pak Anies...,Netral,Tweet ini membahas demonisasi partai politik dan Anies tanpa menunjukkan sentimen yang jelas terhadap Anies.,Fokus tweet ini lebih pada partai politik daripada Anies sendiri.,
@700juta @PolJokesID Kaum ngeyel kurang banyak apa Pak Anies difitnah... Sana sini dikritik sana sini...dipaidho sana sini... Rileks aja... Dibuktikan dg karya dan prestasi... Lhah ini fakta rakyat juga tau.. palagi yg melek politik dan perkembangan hukum di Indo... Masih ngeyel aja,Positif,"Tweet ini membela Anies dari fitnah dan kritik, serta memuji karya dan prestasinya.",Frasa “dibuktikan dengan karya dan prestasi” menunjukkan apresiasi dan pandangan positif terhadap Anies.,
Lihat video Fans Anies Rasyid Baswedan! #TikTok https://t.co/JrVbtZL9kE,Netral,Tweet ini hanya mengajak untuk melihat video tanpa memberikan opini atau sentimen.,Tidak ada kata-kata yang menunjukkan sentimen positif atau negatif.,
Tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini. MAHKAMAH KONSTITUSI pun serasa milik keluarga. KALO LU MERASAKAN ORDE BARU JOKOWI INI LEBIH PARAH DARI ORDE BARU. @RKinayung,Negatif,"Tweet ini mengkritik kondisi demokrasi dan pemerintahan saat ini, serta membandingkannya dengan Orde Baru.",Frasa “lebih parah dari Orde Baru” menunjukkan ketidakpuasan dan sentimen negatif.,
@o123Typo @projectm_org @deduktif_id @JARING_ 1. Oligarki itu sebuah bentuk pemerintahan/kekuasaan. Yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata; aniesbubble dan kerelawanan yg lain. Bukti : desak anies kampanye akbar jis (ga pakai duit) 2. Memang tapi mereka bukan yg,Netral,Tweet ini membahas oligarki dan kampanye Anies tanpa menunjukkan sentimen yang jelas.,Fokus tweet ini lebih pada penjelasan konsep dan fakta daripada opini atau sentimen.,
@pastacikin Ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang Yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in Sumpah emg bener SDM kita tidak siap punya pemimpin kyk pak Anies,Negatif,Tweet ini mengkritik kemampuan Anies dalam public speaking dan menyatakan bahwa SDM tidak siap memiliki pemimpin seperti Anies.,Frasa “lebih malu-maluin” dan “tidak siap punya pemimpin kayak Pak Anies” menunjukkan sentimen negatif.,
