created_at,full_text,username,label_manually,analisis
Mon Feb 12 23:56:54 +0000 2024,ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,jotajotiID,Positif,Tweet ini menunjukkan dukungan terhadap Ganjar Pranowo dengan menyebutkan makna positif dari �kumpul� yang berarti bersatu.
Mon Feb 12 23:56:47 +0000 2024,Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,iseesawx,Netral,"Tweet ini mempertanyakan perubahan pilihan hanya karena film, tanpa menunjukkan dukungan atau penolakan yang jelas terhadap Ganjar."
Mon Feb 12 23:56:45 +0000 2024,Warga Lebak Dapat Barang Berharga dari Sandiaga Uno: PPP Menang Ganjar Presiden! https://t.co/fu6p2GmDcT #PPPMenang #GanjarMahfudSatset,MNCkoranSINDO,Positif,Tweet ini mendukung Ganjar Pranowo dengan menyebutkan kemenangan PPP dan Ganjar sebagai presiden.
Mon Feb 12 23:56:42 +0000 2024,@ganjarpranowo Terus berkarya dimanapun dan kapanpun berada alhamdulillah pak ganjar selalu memberikan yang terbaik,siviargh,Positif,Tweet ini memuji Ganjar Pranowo atas karyanya dan menyatakan rasa syukur.
Mon Feb 12 23:56:10 +0000 2024,@ganjarpranowo setuju pak. semoga nanti pak ganjar terus bisa memfasilitasi anak muda nggih,lyemuayw2095,Positif,Tweet ini menunjukkan dukungan dan harapan agar Ganjar Pranowo terus memfasilitasi anak muda.
Mon Feb 12 23:56:04 +0000 2024,H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,nestmeller,Netral,"Tweet ini menunjukkan sikap netral dengan mendukung siapapun yang terpilih sebagai presiden, tanpa menunjukkan preferensi khusus."
Mon Feb 12 23:55:48 +0000 2024,Ganjar - Mahfud adalah pasangan yang siap memimpin Indonesia menuju kemajuan jadi jangan ragu untuk memilih mereka. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @azrycha #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XcG6ZoLfmh,aurafelicia9,Positif,Tweet ini mendukung pasangan Ganjar-Mahfud dan mengajak orang untuk memilih mereka.
Mon Feb 12 23:55:46 +0000 2024,Bukan toketz campaign yak ? ...wkwkwkeke...,AgusKuswanto121,Netral,Tweet ini tidak memberikan informasi yang cukup untuk menentukan sentimen terhadap Ganjar.
Mon Feb 12 23:55:29 +0000 2024,@Penyuka_ombak Saya sudah memutuskan untuk pilih n menangkan pak Ganjar Mahfud sihh,Kurniarahma3451,Positif,Tweet ini menunjukkan dukungan dan keputusan untuk memilih Ganjar Mahfud.
Mon Feb 12 23:55:26 +0000 2024,@ganjarpranowo Maju terus Ganjar Mahfud ️,salasatun368,Positif,Tweet ini mendukung Ganjar Mahfud untuk terus maju.
Mon Feb 12 23:55:18 +0000 2024,Anak Kecil Aja Nyaman Sama Pak Ganjar ini membuktikan Bahwa Capres 03 ini mampu memberi kenyamanan pada semua rakyat Indonesia. Semakin #YakinPilihGanjar Bismillah @ganjarpranowo @mohmahfudmd M3nang Pilpres 2024 ini aamiin #GanjarMahfud2024 https://t.co/aytPN6jZhs,MuhammadTuhasan,Positif,Tweet ini menunjukkan dukungan kuat terhadap Ganjar dengan menyebutkan kenyamanan yang diberikan kepada rakyat.
