created_at,full_text,label,analisis,
Mon Feb 12 23:58:59 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Hari tenang plis jangan bikin gaduh halahhhh,Negatif,Tweet†ini†menunjukkan†kritik†terhadap†Prabowo†dengan†menyebutkan†bahwa†dia†membuat†keributan†pada†hari†tenang.,
Mon Feb 12 23:58:52 +0000 2024,@kaduhungbanget Prabowo kayaknya lebih seneng main-main daripada ngurusin ibadah masa mau dipilih jadi pemimpin?,Negatif,Tweet†ini†menunjukkan†kritik†terhadap†Prabowo†dengan†menyebutkan†bahwa†dia†lebih†suka†bermain-main†daripada†mengurus†ibadah.,
Mon Feb 12 23:58:46 +0000 2024,Yth.@prabowo c.q.@habiburokhman Mohon Klarifikasi Tulisan @AllanNairn14(https://t.co/txsCMGubJ2) Telah Masuk Kategori Fitnah Versi @habiburokhman Sama Seperti Film Dirty Vote(https://t.co/xuXVmAxroI -- https://t.co/GcHzKE4ulW) Biar Tak Terkesan Kubu @prabowo Takut @AllanNairn14,Netral,Tweet†ini†meminta†klarifikasi†tanpa†memberikan†opini†yang†kuat†tentang†Prabowo.,
Mon Feb 12 23:58:43 +0000 2024,Lupa kirim beras bansos ke perancis. Survey di indonesia bodong semua Dasar si bowo @prabowo tengkulak survey sejak 2014 sampai sekrg. @Gerindra .,Negatif,Tweet†ini†menunjukkan†kritik†terhadap†Prabowo†dengan†menyebutkan†bahwa†survei†yang†dilakukan†bodong†dan†menyebutnya†tengkulak†survei.,
Mon Feb 12 23:58:38 +0000 2024,@negativisme @prabowo @gibran_tweet Disini keliatan bgt yg panik cuma 02 wkwkkkw FITNAH dari mana?? kalo berani bilang itu Fitnah ya bantah lagi pake data dong! mereka kan ngomong sesuai data di lapangan! bukan berdasarkan katanya. LOL,Negatif,Tweet†ini†menunjukkan†kritik†terhadap†Prabowo†dengan†menyebutkan†bahwa†kubu†02†panik†dan†menantang†untuk†membantah†dengan†data.,
Mon Feb 12 23:58:35 +0000 2024,@sosmedkeras coba klo pak prabowo enggak nyalon. trus pak jokowi gak dukung pak prabowo dan gibran gak maju. gak akan ada tuh film ini. wkwkwkwk padahal pengkondisian mah di Indonesia udah biasa. dari pemilihan ketua Karang Taruna juga ada pengkondisian. cuman syg gak dibuatin film. eh,Netral,Tweet ini lebih bersifat spekulatif dan humoris mengenai situasi politik di Indonesia. Tidak ada sentimen yang jelas terhadap Prabowo.,"Meskipun ada unsur humor, tweet ini tidak menunjukkan dukungan atau penolakan yang jelas terhadap Prabowo."
Mon Feb 12 23:58:31 +0000 2024,@Dahnilanzar Kacau sih saya mungkin pilih 02 karena yakin orang orang dibelakang pak prabowo tapi bukan anda,Negatif,"Tweet ini menunjukkan ketidakpuasan terhadap salah satu pendukung Prabowo, meskipun ada sedikit dukungan terhadap Prabowo sendiri.",Ketidakpuasan terhadap pendukung Prabowo lebih dominan daripada dukungan terhadap Prabowo.
Mon Feb 12 23:58:26 +0000 2024,@Gunalo5252621 @Heraloebss @prabowo @gibran_tweet Ngaruh banget sodaraku yg notabene lulusan sarjana milih 02 karna kasian sama Prabowo gak peduli cawapresnya tukang nabrak etika,Negatif,"Tweet ini menunjukkan bahwa dukungan terhadap Prabowo didasarkan pada rasa kasihan, bukan karena kualitas atau kebijakan yang ditawarkan.",Dukungan yang didasarkan pada rasa kasihan menunjukkan sentimen negatif terhadap Prabowo.
Mon Feb 12 23:58:11 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Dia yang nge-tweet netizen yang deg-degan. Sehat¬≤ mas,Netral,Tweet ini lebih bersifat humoris dan tidak menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:56:31 +0000 2024,@realfedinuril Kalo mau lebih jelas dan detail datengin aja orgnya. Gosah koar2 di sosmed pak prabowo ga selalu aktif di sosmed seperti cawapres 01. Lagian ngapain jga layanin org yg emang udh nebar kebencian tentang beliau mau dijelasin sedetail apapun kalo orgnya udh gasuka ya gakan masuk,Netral,"Tweet ini menunjukkan ketidakpuasan terhadap orang yang menyebarkan kebencian tentang Prabowo, tetapi tidak menunjukkan dukungan yang jelas terhadap Prabowo.","Meskipun ada ketidakpuasan terhadap penyebar kebencian, tidak ada dukungan yang jelas terhadap Prabowo."
Mon Feb 12 23:56:21 +0000 2024,@alifrasyid4 @realfedinuril @prabowo @Dahnilanzar Nah bner tuh Intip aja bang,Netral,Tweet ini hanya mengonfirmasi pernyataan sebelumnya tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:56:19 +0000 2024,@SacredUse @Vanessa_Prisci Apalagi Cak Imin pun pasti gadipake jadi Wapres ujungnya dia disuruh dukung Sandiaga Uno bersama Zulhas sama AHY pula yang disana wakakak. Makanya koalisi yang tertunda. Lucunya Prabowo disitu mau partainya Imin tapi kaga mau Imin jadi Cawapresnya. Yang bener aja rugi dong ,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap keputusan Prabowo terkait koalisi dan calon wakil presiden.,Ketidakpuasan terhadap keputusan Prabowo menunjukkan sentimen negatif.
Mon Feb 12 23:56:16 +0000 2024,@Fahrihamzah Owh maksudnya pak Prabowo ditipu Jokowi ya... Hmmmm ya ya.,Negatif,"Tweet ini menunjukkan bahwa Prabowo dianggap ditipu oleh Jokowi, yang merupakan sentimen negatif.",Menyatakan bahwa Prabowo ditipu menunjukkan sentimen negatif terhadapnya.
Mon Feb 12 23:56:10 +0000 2024,Saya tidak punya waktu untuk sakit hati dan saya tidak punya energi untuk dendam - Prabowo Subianto - https://t.co/CaNmB22y8L,Netral,Tweet ini hanya mengutip pernyataan Prabowo tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:56:05 +0000 2024,@triwul82 #GERAKAN_1PUTARAN_02MENANGTELAK Kangen liat Prabowo-Gibran dilantik menjadi Presiden &amp; wapres RI Pertama kali dlm sejarah presiden lantik anaknya jd wapres dpt kabar td pagi Seniman Butet meninggal krn sakit jantung kepingin ngasih bunga ke keluarganya eh ternyata cuma mimpi!,Positif,Tweet ini menunjukkan dukungan dan harapan agar Prabowo dan Gibran dilantik menjadi Presiden dan Wakil Presiden.,Dukungan dan harapan agar Prabowo dan Gibran dilantik menunjukkan sentimen positif.
Mon Feb 12 23:56:04 +0000 2024,H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,Netral,Tweet ini menunjukkan dukungan terhadap semua calon presiden tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Dukungan terhadap semua calon presiden menunjukkan sentimen netral.
Mon Feb 12 23:55:44 +0000 2024,@Nekareanemesis @RandomWorldWar @realfedinuril @prabowo @Dahnilanzar Ada prinsif2 fundamental yg tsk bisa kita tabrak begitu saja. Istri mu itu hal prinsif sama hal dgn dasar berdirinya Republik ini dgn penentangan penjajahan secara konstitusional. Menjalain hubungan gelap dgn Israel itu pengkhianatan pda prinsif2 dasar kita bernegara.,Netral,Tweet ini lebih membahas prinsip-prinsip fundamental tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:55:40 +0000 2024,Jangan tonton sampai habis Prabowo gibran 1 putaran itu https://t.co/MbqyXKA7Vf,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap Prabowo dan Gibran.,Menyuruh orang untuk tidak menonton menunjukkan sentimen negatif.
Mon Feb 12 23:55:30 +0000 2024,@SahabatAKost @prabowo @gibran_tweet BANSOS duwit negara utk kampanye PRABOWO https://t.co/gKrTWn8C2i,Negatif,Tweet ini menunjukkan ketidakpuasan terhadap penggunaan dana negara untuk kampanye Prabowo.,Menyatakan bahwa dana negara digunakan untuk kampanye menunjukkan sentimen negatif.
Mon Feb 12 23:55:25 +0000 2024,@bimbingan_islam Cc: prabowo. Bukti nyata,Netral,Tweet ini hanya menyebutkan Prabowo tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:55:17 +0000 2024,Susahnya mengais rejeki di negara orang Bersyukurlah kalian yang dipimpin Prabowo Gibran https://t.co/LFGLYPBfQv,Positif,Tweet ini menunjukkan rasa syukur dan dukungan terhadap kepemimpinan Prabowo dan Gibran.,Rasa syukur dan dukungan terhadap kepemimpinan Prabowo dan Gibran menunjukkan sentimen positif.
Mon Feb 12 23:55:16 +0000 2024,@herupurnom0 @realfedinuril @prabowo @Dahnilanzar Paling cuma di read doang,Negatif,Tweet ini menunjukkan ketidakpercayaan bahwa pesan akan dibaca atau ditanggapi oleh Prabowo atau timnya.,Ketidakpercayaan terhadap respons Prabowo atau timnya menunjukkan sentimen negatif.
Mon Feb 12 23:55:02 +0000 2024,@sosmedkeras gue gk paham dah ko terkesan intimidasi 02 ya?. cuma seketika gue mikir keknya emg yg problem paslonnya dah. baru phm sumpah gue pindah haluan dah gajadi milih prabowo-gibran,Negatif,Tweet ini menunjukkan ketidakpuasan dan perubahan pilihan dari Prabowo-Gibran ke calon lain.,Ketidakpuasan dan perubahan pilihan menunjukkan sentimen negatif terhadap Prabowo-Gibran.
Mon Feb 12 23:54:53 +0000 2024,@anandabadudu Yg bikin pak anies menang di putaran 2 itu pak prabowo pk prabowo dateng langsung ketempat yg pak anies kalah di putaran pertama,Netral,Tweet ini hanya menyatakan fakta bahwa Prabowo membantu kemenangan Anies tanpa menunjukkan sentimen yang jelas terhadap Prabowo.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:54:51 +0000 2024,@Fahrihamzah Coba tanya @prabowo masih inget ga https://t.co/UZSNFXfgWi,Netral,Tweet ini hanya mengajukan pertanyaan kepada Prabowo tanpa menunjukkan sentimen yang jelas.,Tidak ada dukungan atau penolakan yang jelas terhadap Prabowo.
Mon Feb 12 23:54:50 +0000 2024,Jdi pengen curhat dikit.. Waktu pertama kampanye tuh gue pilih 02 sekeluarga karna emg dri pemilu 2014 dan 2019 keluarga gue selalu coblos prabowo. KITA GAPERNAH GOLPUT karena suara kita itu menentukan kedepannya kehidupan kita bakal gimana--,Positif,Tweet ini menunjukkan dukungan dan konsistensi dalam memilih Prabowo pada pemilu sebelumnya.,Dukungan dan konsistensi dalam memilih Prabowo menunjukkan sentimen positif.
