conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.7571920822200527e+18,Mon Feb 12 23:56:54 +0000 2024,0,ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,1.7571920822200527e+18,,,in,Indonesia,0,0,0,https://x.com/jotajotiID/status/1757192082220052684,93175954.0,jotajotiID
1.7571920526418785e+18,Mon Feb 12 23:56:47 +0000 2024,0,Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,1.7571920526418785e+18,,,in,,0,0,0,https://x.com/iseesawx/status/1757192052641878469,1.5867746236766945e+18,iseesawx
1.757192046937539e+18,Mon Feb 12 23:56:45 +0000 2024,1,Warga Lebak Dapat Barang Berharga dari Sandiaga Uno: PPP Menang Ganjar Presiden! https://t.co/fu6p2GmDcT #PPPMenang #GanjarMahfudSatset,1.757192046937539e+18,,,in,"Jakarta, Indonesia",0,2,0,https://x.com/MNCkoranSINDO/status/1757192046937539026,509946051.0,MNCkoranSINDO
1.7568601798812756e+18,Mon Feb 12 23:56:42 +0000 2024,0,@ganjarpranowo Terus berkarya dimanapun dan kapanpun berada alhamdulillah pak ganjar selalu memberikan yang terbaik,1.7571920352186783e+18,,ganjarpranowo,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://x.com/siviargh/status/1757192035218678152,1.5568474694257377e+18,siviargh
1.7568601798812756e+18,Mon Feb 12 23:56:10 +0000 2024,0,@ganjarpranowo setuju pak. semoga nanti pak ganjar terus bisa memfasilitasi anak muda nggih,1.7571919012274877e+18,,ganjarpranowo,in,Indonesia,0,0,0,https://x.com/lyemuayw2095/status/1757191901227487709,8.521681986235474e+17,lyemuayw2095
1.7571918752899034e+18,Mon Feb 12 23:56:04 +0000 2024,0,H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,1.7571918752899034e+18,https://pbs.twimg.com/tweet_video_thumb/GGLMsL1bIAA_xmX.jpg,,in,banyuwangi,0,0,0,https://x.com/nestmeller/status/1757191875289903263,1.6032559620765983e+18,nestmeller
1.757191806754886e+18,Mon Feb 12 23:55:48 +0000 2024,0,Ganjar - Mahfud adalah pasangan yang siap memimpin Indonesia menuju kemajuan jadi jangan ragu untuk memilih mereka. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @azrycha #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XcG6ZoLfmh,1.757191806754886e+18,https://pbs.twimg.com/media/GGLMooSaoAAv5ok.jpg,,in,Palopo,0,0,0,https://x.com/aurafelicia9/status/1757191806754885929,1.6872900213747917e+18,aurafelicia9
1.7571917994652303e+18,Mon Feb 12 23:55:46 +0000 2024,0,Bukan toketz campaign yak ? ...wkwkwkeke...,1.7571917994652303e+18,,,in,,0,0,0,https://x.com/AgusKuswanto121/status/1757191799465230368,1.6038037101358735e+18,AgusKuswanto121
1.7569229424438804e+18,Mon Feb 12 23:55:29 +0000 2024,0,@Penyuka_ombak Saya sudah memutuskan untuk pilih n menangkan pak Ganjar Mahfud sihh,1.7571917252680172e+18,,Penyuka_ombak,in,,0,0,0,https://x.com/Kurniarahma3451/status/1757191725268017254,1.703453058477486e+18,Kurniarahma3451
1.7568989020061903e+18,Mon Feb 12 23:55:26 +0000 2024,0,@ganjarpranowo Maju terus Ganjar Mahfud ️,1.7571917148996488e+18,,ganjarpranowo,in,,0,0,0,https://x.com/salasatun368/status/1757191714899648702,1.7472916933666284e+18,salasatun368
