created_at,full_text,username
Mon Feb 12 23:58:06 +0000 2024,@aniesbaswedan @msaid_didu Pak anies sekarang kalau kampanye kok suka nyinyir,HPranadiya
Mon Feb 12 23:58:00 +0000 2024,@SumitroYoel Prinsip berpolitik yang penting anti PDIP dan Jokowi. Tapi selain itu ya Anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih.,MilanistiSagita
Mon Feb 12 23:57:59 +0000 2024,@chitattooes Di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,amelang16
Mon Feb 12 23:57:50 +0000 2024,@SumitroYoel Pak Anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn PKS emang antum @PKSejahtera harus memperbaiki citra *chanda ya ,_yo_gi_26
Mon Feb 12 23:57:42 +0000 2024,@SumitroYoel Njir masih aja partai orens kena hatred.. ngeri sih.. padahal sama-sama di demonisasi kyk pak Anies...,kang_Il_ham
Mon Feb 12 23:57:40 +0000 2024,@700juta @PolJokesID Kaum ngeyel kurang banyak apa Pak Anies difitnah... Sana sini dikritik sana sini...dipaidho sana sini... Rileks aja... Dibuktikan dg karya dan prestasi... Lhah ini fakta rakyat juga tau.. palagi yg melek politik dan perkembangan hukum di Indo... Masih ngeyel aja,MasterSogol2023
Mon Feb 12 23:57:34 +0000 2024,Lihat video Fans Anies Rasyid Baswedan! #TikTok https://t.co/JrVbtZL9kE,AzlNadia40902
Mon Feb 12 23:57:29 +0000 2024,Tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini. MAHKAMAH KONSTITUSI pun serasa milik keluarga. KALO LU MERASAKAN ORDE BARU JOKOWI INI LEBIH PARAH DARI ORDE BARU. @RKinayung,2024AniesRI1
Mon Feb 12 23:57:12 +0000 2024,@o123Typo @projectm_org @deduktif_id @JARING_ 1. Oligarki itu sebuah bentuk pemerintahan/kekuasaan. Yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata; aniesbubble dan kerelawanan yg lain. Bukti : desak anies kampanye akbar jis (ga pakai duit) 2. Memang tapi mereka bukan yg,binlatif
Mon Feb 12 23:57:05 +0000 2024,@pastacikin Ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang Yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in Sumpah emg bener SDM kita tidak siap punya pemimpin kyk pak Anies,himaaaatul
Mon Feb 12 23:56:59 +0000 2024,@SumitroYoel Terima kasih sama buzzer2 jahat 02 yg demonisasi Rohingya. Jujur awalnya sy jg blm tau mau milih siapa. Sy bahkan ga pernah tau sm rekam jejak pak anies. Dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja. Sejak rame isu rohingya kan akhirnya banyak akun yg ,exquisiteme_
Mon Feb 12 23:56:55 +0000 2024,@ekowboy2 Pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu GAMA https://t.co/x4P76XSLLQ,Ginooowx
Mon Feb 12 23:56:47 +0000 2024,Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,iseesawx
Mon Feb 12 23:56:18 +0000 2024,org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2. noh di belakang 03 ada pdi yg jelas jelas ngaco. partai wong cilik tai. teriak wong cilik klo jadi oposisi doang. giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,_gibberishh
Mon Feb 12 23:56:18 +0000 2024,Buat yg bilang gue mendewakan Pak Anies. Gue ngutip dari sini. Ya kali gue fanatik buta sampe mendewakan. Gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya. Gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya https://t.co/hiOchjwsH0,minelixiouss
Mon Feb 12 23:56:09 +0000 2024,@tempodotco Pak anies terbaik dan gak akan saya pernh mau mendukung untuk menjadi paslon 2 menang kalo kalah di putaran pertama pun lebih baik dukung 3 https://t.co/oVi29MXSLZ,sayahmaul
Mon Feb 12 23:56:08 +0000 2024,@riojohan Sejauh ini Anies sangat menghargai hukum. Kalau saya tidak salah baca ketika beliau menjabat sebagai gubernur pemprov DKI pernah digugat terkait sengketa dan pengadilan memutuskan pemprov DKI bersalah dan wajib membayar ganti rugi Anies menghormati putusan pengadilan tersebut.,Pawwpaaw
Mon Feb 12 23:56:08 +0000 2024,@ISayoethy @YUT4NC7 Kader partai itu yg kpgn gibran. Anies kunjungan ke solo sekalian mampir. Tp gibran sndiri blg mereka ga pernah ngomongin politik tp ngomongin ttg perkembangan kota dll. Ya kyk anies bertamu gitu trus y disambut ama gibran. Tp klo soal anies apa mau gibran jd cawapres? Ga jwbnya,wintoritori
Mon Feb 12 23:56:05 +0000 2024,Perempuan di mata Abah Anies... Perempuan harus dimuliakan harus dilindungi dan kekerasan pada perempuan tidak boleh disepelekan..... https://t.co/XpMYHOwZMK,AbanggSayur
Mon Feb 12 23:56:04 +0000 2024,H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,nestmeller
Mon Feb 12 23:56:01 +0000 2024,@PartaiSocmed Kami butuh sosok pak Anies untuk menjadi pemimpin bukan penerus dinasti https://t.co/OQ7716vhiv,Ginooowx
Mon Feb 12 23:55:48 +0000 2024,salfok pak anies dengan jargon yg tidak kalah penting tuh emang dari dulu ya ,wonniedyu
Mon Feb 12 23:55:35 +0000 2024,Setelah Amin menang pa anies dibawa cak imin sowan ke kediri . Lengser dong belio #AMINmenang,x_kangs4pu
Mon Feb 12 23:55:33 +0000 2024,Orang2 nih kasih standart ke pak Anies ini standartnya rosul dan sahabat2nya. Mesti 100% sempurna,teninena
Mon Feb 12 23:55:06 +0000 2024,Berarti bener ya framing ke muslim yang ga sejalan ama pemerintah itu dibuat jelek semua Dari KPK Anies PKS. Semua dituduh taliban/ekstrimis supaya ada alasan buat dilengserin.,mavymai
Mon Feb 12 23:55:06 +0000 2024,@BosPurwa Dari dulu memang pak Anies mengedepankan etika dalam bekerja mengayomi dan menghormati rakyat kecil. Yg disampaikan Anies dari debat ini juga perubahan. Faktanya juga belaiu berhasil merubah dijakarta lebih baik,daristahasan
Mon Feb 12 23:55:03 +0000 2024,@ulul_AlbabAya @FitnahLagicom Tanpa mengurangi rasa hormat sama pengisi acaranya ini ngebuktiin kalo massa yang dateng gak peduli mau dihibur sama siapa orang tujuannya ya liat pak anies sama cak imin wkwkw tujuannya tercapai ya pulang.,hitamberawan
Mon Feb 12 23:55:00 +0000 2024,@Abahpurwa1 Ya Allah jadikan lah Anies Baswedan jadi presiden tahun ini...Aamin.,Darisrizal06
Mon Feb 12 23:54:56 +0000 2024,emang bener pilihan gue pak Anies only,secretuniversea
Mon Feb 12 23:54:53 +0000 2024,@anandabadudu Yg bikin pak anies menang di putaran 2 itu pak prabowo pk prabowo dateng langsung ketempat yg pak anies kalah di putaran pertama,posada263
Mon Feb 12 23:54:51 +0000 2024,@alextham878 Kita gaspolkan dukung pak anies https://t.co/CmoazD2291,romaria1215
Mon Feb 12 23:54:50 +0000 2024,InsyaAllah kemenangan Paslon 01 di depan mata. Besok 14 Februari kita ber1 wujudkan perubahan untuk Indonesia yg lbh baik. Ingat.. coblos nomor urut 1 Anies - Muhaimin. https://t.co/vhbj6aVsCf,yusrintosepu
Mon Feb 12 23:54:44 +0000 2024,@PartaiSocmed @Dennysiregar7 @aniesbaswedan nah ini pak Anies ajal ga ada yang tau. Pemimpin mana yang mau pendukung nya kena musibah?? begitupun masalah Harun yang bapak bawa bawa saat debat. Musibah ga ada yang tau.,girlofheaven_
Mon Feb 12 23:54:39 +0000 2024,@rrrrio123 @50percenthell @AghaarXx hadeh 02 saking pak anies banyak prestasinya bingung mau di liat mana lg selain imam mahdi eh taunya hoax,AqilahFathiyya3
Mon Feb 12 23:54:35 +0000 2024,@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Ginooowx
