created_at,full_text,username
Mon Feb 12 23:56:54 +0000 2024,ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,jotajotiID
Mon Feb 12 23:56:47 +0000 2024,Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,iseesawx
Mon Feb 12 23:56:45 +0000 2024,Warga Lebak Dapat Barang Berharga dari Sandiaga Uno: PPP Menang Ganjar Presiden! https://t.co/fu6p2GmDcT #PPPMenang #GanjarMahfudSatset,MNCkoranSINDO
Mon Feb 12 23:56:42 +0000 2024,@ganjarpranowo Terus berkarya dimanapun dan kapanpun berada alhamdulillah pak ganjar selalu memberikan yang terbaik,siviargh
Mon Feb 12 23:56:10 +0000 2024,@ganjarpranowo setuju pak. semoga nanti pak ganjar terus bisa memfasilitasi anak muda nggih,lyemuayw2095
Mon Feb 12 23:56:04 +0000 2024,H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,nestmeller
Mon Feb 12 23:55:48 +0000 2024,Ganjar - Mahfud adalah pasangan yang siap memimpin Indonesia menuju kemajuan jadi jangan ragu untuk memilih mereka. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @azrycha #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XcG6ZoLfmh,aurafelicia9
Mon Feb 12 23:55:46 +0000 2024,Bukan toketz campaign yak ? ...wkwkwkeke...,AgusKuswanto121
Mon Feb 12 23:55:29 +0000 2024,@Penyuka_ombak Saya sudah memutuskan untuk pilih n menangkan pak Ganjar Mahfud sihh,Kurniarahma3451
Mon Feb 12 23:55:26 +0000 2024,@ganjarpranowo Maju terus Ganjar Mahfud ️,salasatun368
Mon Feb 12 23:55:18 +0000 2024,Anak Kecil Aja Nyaman Sama Pak Ganjar ini membuktikan Bahwa Capres 03 ini mampu memberi kenyamanan pada semua rakyat Indonesia. Semakin #YakinPilihGanjar Bismillah @ganjarpranowo @mohmahfudmd M3nang Pilpres 2024 ini aamiin #GanjarMahfud2024 https://t.co/aytPN6jZhs,MuhammadTuhasan
Mon Feb 12 23:55:14 +0000 2024,@Ndons_Back @99propaganda @bengkeldodo @are_inismyname @florieliciouss @Bank_Joee_ @BANGSAygSUJUD @AditBandit234 @Lembayung071 @P4P4B0W0_2024 @cuitcuap_ All in 01 dongg kalo sampe kalah pun mendingan pilih nya ke pak ganjar aja aku https://t.co/HE3a1YZv7d,sayahmaul
Mon Feb 12 23:55:03 +0000 2024,bro alam ganjar is old kpopers??,yaerimiese
Mon Feb 12 23:54:51 +0000 2024,@ganjarpranowo @ernestprakasa Kemarin juga nonton film ini pak salah satu film keluarga terbaik pak ganjar.,siviargh
Mon Feb 12 23:54:44 +0000 2024,@Bull_winner Buat yang koar2 dibaca dulu terus linknya dibuka jangan link yg di tonton pak ganjar aja yg lu buka,b4bygir7_
Mon Feb 12 23:54:43 +0000 2024,Kalau gak mau jadi Gen 2.0 ya lebih baik jangan pilih Gen 2.3 Sesederhana itu kok !!,AgusKuswanto121
Mon Feb 12 23:54:41 +0000 2024,tw gak semalem aku mimpi alam ganjar DIKASIH album redvelvet,wonnuist
Mon Feb 12 23:54:38 +0000 2024,@KEBUMENinLOVE @An4Julie @drReUtari08 @AditBandit234 @Abahpurwa1 @Abaaah @_NusantaraLand_ @99propaganda @Ndons_Back @03__nakula @DarekaRendy @Ganjar_Mahfud03 Gila lu ndro,winnely24
Mon Feb 12 23:54:35 +0000 2024,@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Ginooowx
Mon Feb 12 23:54:27 +0000 2024,AKU SEDANG JATUH CINTA DENGAN ALAM GANJAR,cruelautmn
Mon Feb 12 23:54:22 +0000 2024,@ganjarpranowo Ganjar Mahfud 03,salasatun368
Mon Feb 12 23:54:07 +0000 2024,@ccacon Malah ada yg bandingin sama alam ganjar dong ,mellinda_fauzia
Mon Feb 12 23:54:02 +0000 2024,@alextham878 kalo Anies kalah mendingan kita dukung Ganjar aja https://t.co/u33zmXLOAp,AzhivaL
Mon Feb 12 23:53:43 +0000 2024,@Masinton @KPU_ID @bawaslu_RI Di vidio yg di coblos Ganjar kan ya jadi dari partai bapak jg kan ya,Ferdinand210053
Mon Feb 12 23:53:35 +0000 2024,@aruna_bayu @alamganjar14 Asli. Aku kesini karena ditunjukin p ganjar,ninok_snow
Mon Feb 12 23:53:34 +0000 2024,@ekowboy2 Kami yakin pada pak Anies satu putaran jika tidak memungkinkan paling pilih Ganjar lebih baik https://t.co/D6D7L7Lbij,JaehyunieeJw
Mon Feb 12 23:53:15 +0000 2024,@tempodotco Kalo Anies kalah yuk kita dukung Ganjar deh lebih bagus. https://t.co/yfjgl3djzZ,AzhivaL
Mon Feb 12 23:53:05 +0000 2024,bisa aja Pak Ganjar ,Pprimilly
Mon Feb 12 23:52:58 +0000 2024,@TirtoID all in ganjar mahfud,inizahrajugaa
Mon Feb 12 23:52:32 +0000 2024,@ganjarpranowo @ernestprakasa Ganjar Mahfud memang terbaik,salasatun368
Mon Feb 12 23:52:23 +0000 2024,@stargzie alamnya pak ganjar alias anak e mbak,jjovaaanka
Mon Feb 12 23:52:04 +0000 2024,DV tidak utk menarik suara 02. DV hanyalah potret kehidupan nyata di lapangan selama pilpres ini. Bagi mereka yg takut azab tuhan pasti akan beralih pilihan ke 03 atau 01.,AgusKuswanto121
Mon Feb 12 23:51:59 +0000 2024,@Klonthong_Sapi @kangdede78 Lol di Malaysia TKI semua yel yel Anies kalah Prabowo yg dipilih. Ganjar kaga ada sama sekali,Whoru90408865
