created_at,full_text,username
Mon Feb 12 23:58:59 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Hari tenang plis jangan bikin gaduh halahhhh,ITresniang89691
Mon Feb 12 23:58:52 +0000 2024,@kaduhungbanget Prabowo kayaknya lebih seneng main-main daripada ngurusin ibadah masa mau dipilih jadi pemimpin?,alifirmansyahh
Mon Feb 12 23:58:46 +0000 2024,Yth.@prabowo c.q.@habiburokhman Mohon Klarifikasi Tulisan @AllanNairn14(https://t.co/txsCMGubJ2) Telah Masuk Kategori Fitnah Versi @habiburokhman Sama Seperti Film Dirty Vote(https://t.co/xuXVmAxroI -- https://t.co/GcHzKE4ulW) Biar Tak Terkesan Kubu @prabowo Takut @AllanNairn14,ProfylHenuk
Mon Feb 12 23:58:43 +0000 2024,Lupa kirim beras bansos ke perancis. Survey di indonesia bodong semua Dasar si bowo @prabowo tengkulak survey sejak 2014 sampai sekrg. @Gerindra .,Candra7799
Mon Feb 12 23:58:38 +0000 2024,@negativisme @prabowo @gibran_tweet Disini keliatan bgt yg panik cuma 02 wkwkkkw FITNAH dari mana?? kalo berani bilang itu Fitnah ya bantah lagi pake data dong! mereka kan ngomong sesuai data di lapangan! bukan berdasarkan katanya. LOL,Chikahoki8
Mon Feb 12 23:58:35 +0000 2024,@sosmedkeras coba klo pak prabowo enggak nyalon. trus pak jokowi gak dukung pak prabowo dan gibran gak maju. gak akan ada tuh film ini. wkwkwkwk padahal pengkondisian mah di Indonesia udah biasa. dari pemilihan ketua Karang Taruna juga ada pengkondisian. cuman syg gak dibuatin film. eh,pak_eRTe_lima
Mon Feb 12 23:58:31 +0000 2024,@Dahnilanzar Kacau sih saya mungkin pilih 02 karena yakin orang orang dibelakang pak prabowo tapi bukan anda,DaryadiDidik
Mon Feb 12 23:58:26 +0000 2024,@Gunalo5252621 @Heraloebss @prabowo @gibran_tweet Ngaruh banget sodaraku yg notabene lulusan sarjana milih 02 karna kasian sama Prabowo gak peduli cawapresnya tukang nabrak etika,AhnafKhoiru
Mon Feb 12 23:58:11 +0000 2024,@realfedinuril @prabowo @Dahnilanzar Dia yang nge-tweet netizen yang deg-degan. Sehat² mas,Supriya85584628
Mon Feb 12 23:56:31 +0000 2024,@realfedinuril Kalo mau lebih jelas dan detail datengin aja orgnya. Gosah koar2 di sosmed pak prabowo ga selalu aktif di sosmed seperti cawapres 01. Lagian ngapain jga layanin org yg emang udh nebar kebencian tentang beliau mau dijelasin sedetail apapun kalo orgnya udh gasuka ya gakan masuk,sibornel
