"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1757403268505010609","Tue Feb 13 23:59:54 +0000 2024","0","@fadlizon Doa khusus ??? sholat waktu nggak Bang Mbah Prabowo???","1757555225614069873","","fadlizon","in","","0","0","0","https://x.com/Sugie16548814/status/1757555225614069873","1484048517618606083","Sugie16548814"
"1757384230655701105","Tue Feb 13 23:59:50 +0000 2024","6","@AndreasSolusi mendadak lupa prabowo dulu gtu. dulu oposisi akhirnya koalisi juga ngga tahan banget jadi oposisi demi jabatan. udh cape-cape pemilihan trus nuduh curang sampe demo rakyat pada milih termasuk saya dn keluarga ujung-ujungnya gabung juga ","1757555207926649041","","AndreasSolusi","in","","0","0","0","https://x.com/selflove1412/status/1757555207926649041","1699762949718712320","selflove1412"
"1757555206609604913","Tue Feb 13 23:59:49 +0000 2024","0","serukan gerakan #02JariUngu buat hari ini yaa! wajib full pilih @prabowo @gibran_tweet untuk mewujudkan indonesia yang berkelas dengan 02 gas https://t.co/jEjXiQ7vmC","1757555206609604913","https://pbs.twimg.com/media/GGQXJTQaMAAA0p8.jpg","","in","Indonesia","0","0","0","https://x.com/jaeahahay/status/1757555206609604913","1741695956679282688","jaeahahay"
"1757422275715035287","Tue Feb 13 23:59:44 +0000 2024","2","@cobeh2022 Mungkin ini sebabnya mengapa akhirnya Jokowi mendukung Prabowo daripada Ganjar.","1757555184040034608","","cobeh2022","in","","0","1","0","https://x.com/Razieq97/status/1757555184040034608","1434704169588256773","Razieq97"
"1757406813232709749","Tue Feb 13 23:59:43 +0000 2024","3","@fadlizon @prabowo Pra bowo pd dasarnya baik tapi pencapresannya sekarang posisi Prabowo sangat lemah Prabowo banyak dibantu dana dn kecurangan oleh komunis. Sehingga dia dlm cengkaraman dn kendali mereka.","1757555181213135301","","fadlizon","in","","0","0","0","https://x.com/EMusiran/status/1757555181213135301","1604246670027300864","EMusiran"
"1757555171281027340","Tue Feb 13 23:59:41 +0000 2024","0","Ayooo kita ke TPS dan jangan lupa coblos @prabowo @gibran_tweet #02JariUngu https://t.co/8XnIjrahyl","1757555171281027340","https://pbs.twimg.com/media/GGQXFyaaAAAu_b-.jpg","","in","","0","0","0","https://x.com/manudiadekl/status/1757555171281027340","1669949910928728067","manudiadekl"
"1757550572117627147","Tue Feb 13 23:59:38 +0000 2024","2","@syalalaela @prabowo @gibran_tweet Bismillah ayoo guyss siap² otw nihh coblos #02JariUngu","1757555158119272728","","syalalaela","in","","0","0","0","https://x.com/roni34384763871/status/1757555158119272728","1706153830474555392","roni34384763871"
"1757555150791786848","Tue Feb 13 23:59:36 +0000 2024","0","yuk penuhi tps dan gunakan hak suara kalian untuk memilih capres @prabowo @gibran_tweet #02JariUngu https://t.co/9UmUctZnbR","1757555150791786848","https://pbs.twimg.com/media/GGQXGFFbAAAxgWi.jpg","","in","Indonesia","0","0","0","https://x.com/JuanitaUma/status/1757555150791786848","1635861275711508480","JuanitaUma"
"1757550572117627147","Tue Feb 13 23:59:36 +0000 2024","0","@syalalaela @prabowo @gibran_tweet yuklahhh bangun tidur siap-siap ke tps wakakka #02JariUngu","1757555150166893005","","syalalaela","in","","0","0","0","https://x.com/liketwns/status/1757555150166893005","1636917505334861824","liketwns"
"1756599223192346787","Tue Feb 13 23:59:31 +0000 2024","0","@gerrfillah @realfedinuril @prabowo @Dahnilanzar Btw terima kasih atas makiannya. Jadi menu Siomay. Mau pedes?","1757555130709475546","","adiansyahdompu","in","Yogyakarta","0","0","0","https://x.com/adiansyahdompu/status/1757555130709475546","93762902","adiansyahdompu"
"1756955550347391057","Tue Feb 13 23:59:28 +0000 2024","0","@ajengcute16__ Kami dukung Prabowo Gibran pasangan terampuh sejagat raya https://t.co/A3YJ3P7B8f","1757555119724679491","https://pbs.twimg.com/media/GGQXD91aMAAqH39.jpg","ajengcute16__","in","Indonesia","0","0","0","https://x.com/sonyrahrjo/status/1757555119724679491","1722536384517562368","sonyrahrjo"
"1757555119359688840","Tue Feb 13 23:59:28 +0000 2024","0","Ayo kita sama-sama kawal kemenangam @prabowo @gibran_tweet dan pastikan suara kita untuk #02JariUngu https://t.co/PneKoXOfux","1757555119359688840","https://pbs.twimg.com/media/GGQXDwragAAZcQT.jpg","","in","","0","0","0","https://x.com/madhajenti/status/1757555119359688840","1632552052693016576","madhajenti"
"1757433611501150492","Tue Feb 13 23:59:26 +0000 2024","0","@kegblgnunfaedh Sunda empire hanyalah agen kami mereka hanya menerima perintah dari kami kami adalah black agen dan yang menang adalah Prabowo","1757555108022518167","","kegblgnunfaedh","in","","0","0","0","https://x.com/rakunmerah14/status/1757555108022518167","1747920670649118720","rakunmerah14"
"1757555075013329256","Tue Feb 13 23:59:18 +0000 2024","0","Ayo kita lakukan #02JariUngu dan menangkan no 02 @prabowo @jokowi @gibran_tweet https://t.co/lLgU2nt9G7","1757555075013329256","https://pbs.twimg.com/media/GGQXBp2bgAAYyW4.jpg","","in","","0","0","0","https://x.com/vladilena353/status/1757555075013329256","1597753450653437952","vladilena353"
"1757555073864094190","Tue Feb 13 23:59:18 +0000 2024","0","mari kita bersama-sama menuju tps dengan mencoblos @prabowo @gibran_tweet yaawww kita kawal juga kemenangan mereka dalam satu kali putaran! salam #02JariUngu https://t.co/nM2PUiSZSR","1757555073864094190","https://pbs.twimg.com/media/GGQXBl_bsAAmx0x.jpg","","in","Indonesia","0","0","0","https://x.com/bzarbzir/status/1757555073864094190","1741285063743152128","bzarbzir"
"1757550572117627147","Tue Feb 13 23:59:15 +0000 2024","0","@syalalaela @prabowo @gibran_tweet udhh siap bangett dong #02JariUngu","1757555063189569544","","syalalaela","in","","0","0","0","https://x.com/_00livv/status/1757555063189569544","1705076638122450944","_00livv"
"1757554274039656569","Tue Feb 13 23:59:12 +0000 2024","0","@DelimaNafiah @prabowo @gibran_tweet AMIN menang satu putaran","1757555051319721995","","DelimaNafiah","in","","0","0","0","https://x.com/YosefBatusangk1/status/1757555051319721995","1596354525274681344","YosefBatusangk1"
"1757396969801269367","Tue Feb 13 23:59:07 +0000 2024","0","@tvOneNews Laporkan dan cari ya.... jangan coba2 playing victim. Kawan homonya prabowo ini","1757555030478188918","","tvOneNews","in","Bandung, Jawa Barat","0","0","0","https://x.com/AprianSanb35745/status/1757555030478188918","1716742706041602048","AprianSanb35745"
"1757550572117627147","Tue Feb 13 23:59:07 +0000 2024","2","@syalalaela @prabowo @gibran_tweet Rela bangun subuh dan langsung pke baju blue sky buat coblos pak Wowo dan mas Samsul nihh #02JariUngu","1757555028091654236","","syalalaela","in","","0","0","0","https://x.com/gugun756096/status/1757555028091654236","1706153317502685184","gugun756096"
