full_text,label
@aniesbaswedan @msaid_didu Pak anies sekarang kalau kampanye kok suka nyinyir,Negatif
@SumitroYoel Prinsip berpolitik yang penting anti PDIP dan Jokowi. Tapi selain itu ya Anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih.,Positif
@chitattooes Di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,Negatif
@SumitroYoel Pak Anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn PKS emang antum @PKSejahtera harus memperbaiki citra *chanda ya ,Netral
@SumitroYoel Njir masih aja partai orens kena hatred.. ngeri sih.. padahal sama-sama di demonisasi kyk pak Anies...,Netral
@700juta @PolJokesID Kaum ngeyel kurang banyak apa Pak Anies difitnah... Sana sini dikritik sana sini...dipaidho sana sini... Rileks aja... Dibuktikan dg karya dan prestasi... Lhah ini fakta rakyat juga tau.. palagi yg melek politik dan perkembangan hukum di Indo... Masih ngeyel aja,Positif
Lihat video Fans Anies Rasyid Baswedan! #TikTok https://t.co/JrVbtZL9kE,Netral
Tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini. MAHKAMAH KONSTITUSI pun serasa milik keluarga. KALO LU MERASAKAN ORDE BARU JOKOWI INI LEBIH PARAH DARI ORDE BARU. @RKinayung,Negatif
@o123Typo @projectm_org @deduktif_id @JARING_ 1. Oligarki itu sebuah bentuk pemerintahan/kekuasaan. Yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata; aniesbubble dan kerelawanan yg lain. Bukti : desak anies kampanye akbar jis (ga pakai duit) 2. Memang tapi mereka bukan yg,Netral
@pastacikin Ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang Yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in Sumpah emg bener SDM kita tidak siap punya pemimpin kyk pak Anies,Negatif
@SumitroYoel Terima kasih sama buzzer2 jahat 02 yg demonisasi Rohingya. Jujur awalnya sy jg blm tau mau milih siapa. Sy bahkan ga pernah tau sm rekam jejak pak anies. Dan dulunya jg percaya kalo pak anies cm bs ngomong gabisa kerja. Sejak rame isu rohingya kan akhirnya banyak akun yg ,Negatif
@ekowboy2 Pro anies ajah saya mah kalo misal hasil nya tidak memuaskan hanya akan dukung 1 paslon yaitu GAMA https://t.co/x4P76XSLLQ,Positif
Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,Netral
org2 permasalahin dibelakang anies ada pks padahal selama anies menjabat jadi gubernur pks ga aneh2. noh di belakang 03 ada pdi yg jelas jelas ngaco. partai wong cilik tai. teriak wong cilik klo jadi oposisi doang. giliran dalam koalisi pas ada kebijakan yg ga beres malah diem,Netral
Buat yg bilang gue mendewakan Pak Anies. Gue ngutip dari sini. Ya kali gue fanatik buta sampe mendewakan. Gue juga tau kok beliau seorang politikus dan pasti ttp ada aja kurangnya. Gue juga udh buka ruang kecewa utk beliau klo sampe gk sesuai dg ucapannya https://t.co/hiOchjwsH0,Positif
