full_text,label
ganjarpranowo mengungkapkan makna dari kumpul yang artinya bersatu. Ada kehangat - @ganjarpranowo @mohmahfudmd #GanjarMahfud2024 #GPMMDSATSET #GanjarMahfudNews https://t.co/gOOx6CkOr8,Positif
Masa cuman gara gara film jadi berubah pilihan? Pilihannya cuman anies ganjar lg yang bener aje rugi dongg??,Netral
Warga Lebak Dapat Barang Berharga dari Sandiaga Uno: PPP Menang Ganjar Presiden! https://t.co/fu6p2GmDcT #PPPMenang #GanjarMahfudSatset,Positif
@ganjarpranowo Terus berkarya dimanapun dan kapanpun berada alhamdulillah pak ganjar selalu memberikan yang terbaik,Positif
@ganjarpranowo setuju pak. semoga nanti pak ganjar terus bisa memfasilitasi anak muda nggih,Positif
H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,Netral
Ganjar - Mahfud adalah pasangan yang siap memimpin Indonesia menuju kemajuan jadi jangan ragu untuk memilih mereka. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @azrycha #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/XcG6ZoLfmh,Positif
Bukan toketz campaign yak ? ...wkwkwkeke...,Netral
@Penyuka_ombak Saya sudah memutuskan untuk pilih n menangkan pak Ganjar Mahfud sihh,Positif
@ganjarpranowo Maju terus Ganjar Mahfud ️,Positif
Anak Kecil Aja Nyaman Sama Pak Ganjar ini membuktikan Bahwa Capres 03 ini mampu memberi kenyamanan pada semua rakyat Indonesia. Semakin #YakinPilihGanjar Bismillah @ganjarpranowo @mohmahfudmd M3nang Pilpres 2024 ini aamiin #GanjarMahfud2024 https://t.co/aytPN6jZhs,Positif
@Ndons_Back @99propaganda @bengkeldodo @are_inismyname @florieliciouss @Bank_Joee_ @BANGSAygSUJUD @AditBandit234 @Lembayung071 @P4P4B0W0_2024 @cuitcuap_ All in 01 dongg kalo sampe kalah pun mendingan pilih nya ke pak ganjar aja aku https://t.co/HE3a1YZv7d,Positif
bro alam ganjar is old kpopers??,Netral
@ganjarpranowo @ernestprakasa Kemarin juga nonton film ini pak salah satu film keluarga terbaik pak ganjar.,Positif
@Bull_winner Buat yang koar2 dibaca dulu terus linknya dibuka jangan link yg di tonton pak ganjar aja yg lu buka,Negatif
Kalau gak mau jadi Gen 2.0 ya lebih baik jangan pilih Gen 2.3 Sesederhana itu kok !!,Negatif
tw gak semalem aku mimpi alam ganjar DIKASIH album redvelvet,Netral
@KEBUMENinLOVE @An4Julie @drReUtari08 @AditBandit234 @Abahpurwa1 @Abaaah @_NusantaraLand_ @99propaganda @Ndons_Back @03__nakula @DarekaRendy @Ganjar_Mahfud03 Gila lu ndro,Netral
@tvOneNews Salam perubahan untuk kita semua pendukung anies Muhaimin gk duku 02 mending Ganjar kalo kalah https://t.co/QhZdXX1zRY,Netral
AKU SEDANG JATUH CINTA DENGAN ALAM GANJAR,Netral
@ganjarpranowo Ganjar Mahfud 03,Positif
@ccacon Malah ada yg bandingin sama alam ganjar dong ,Netral
@alextham878 kalo Anies kalah mendingan kita dukung Ganjar aja https://t.co/u33zmXLOAp,Netral
@Masinton @KPU_ID @bawaslu_RI Di vidio yg di coblos Ganjar kan ya jadi dari partai bapak jg kan ya,Netral
@aruna_bayu @alamganjar14 Asli. Aku kesini karena ditunjukin p ganjar,Netral
