full_text,label
@realfedinuril @prabowo @Dahnilanzar Hari tenang plis jangan bikin gaduh halahhhh,Negatif
@kaduhungbanget Prabowo kayaknya lebih seneng main-main daripada ngurusin ibadah masa mau dipilih jadi pemimpin?,Negatif
Yth.@prabowo c.q.@habiburokhman Mohon Klarifikasi Tulisan @AllanNairn14(https://t.co/txsCMGubJ2) Telah Masuk Kategori Fitnah Versi @habiburokhman Sama Seperti Film Dirty Vote(https://t.co/xuXVmAxroI -- https://t.co/GcHzKE4ulW) Biar Tak Terkesan Kubu @prabowo Takut @AllanNairn14,Netral
Lupa kirim beras bansos ke perancis. Survey di indonesia bodong semua Dasar si bowo @prabowo tengkulak survey sejak 2014 sampai sekrg. @Gerindra .,Negatif
@negativisme @prabowo @gibran_tweet Disini keliatan bgt yg panik cuma 02 wkwkkkw FITNAH dari mana?? kalo berani bilang itu Fitnah ya bantah lagi pake data dong! mereka kan ngomong sesuai data di lapangan! bukan berdasarkan katanya. LOL,Negatif
@sosmedkeras coba klo pak prabowo enggak nyalon. trus pak jokowi gak dukung pak prabowo dan gibran gak maju. gak akan ada tuh film ini. wkwkwkwk padahal pengkondisian mah di Indonesia udah biasa. dari pemilihan ketua Karang Taruna juga ada pengkondisian. cuman syg gak dibuatin film. eh,Netral
@Dahnilanzar Kacau sih saya mungkin pilih 02 karena yakin orang orang dibelakang pak prabowo tapi bukan anda,Negatif
@Gunalo5252621 @Heraloebss @prabowo @gibran_tweet Ngaruh banget sodaraku yg notabene lulusan sarjana milih 02 karna kasian sama Prabowo gak peduli cawapresnya tukang nabrak etika,Negatif
@realfedinuril @prabowo @Dahnilanzar Dia yang nge-tweet netizen yang deg-degan. Sehat² mas,Netral
@realfedinuril Kalo mau lebih jelas dan detail datengin aja orgnya. Gosah koar2 di sosmed pak prabowo ga selalu aktif di sosmed seperti cawapres 01. Lagian ngapain jga layanin org yg emang udh nebar kebencian tentang beliau mau dijelasin sedetail apapun kalo orgnya udh gasuka ya gakan masuk,Netral
@alifrasyid4 @realfedinuril @prabowo @Dahnilanzar Nah bner tuh Intip aja bang,Netral
@SacredUse @Vanessa_Prisci Apalagi Cak Imin pun pasti gadipake jadi Wapres ujungnya dia disuruh dukung Sandiaga Uno bersama Zulhas sama AHY pula yang disana wakakak. Makanya koalisi yang tertunda. Lucunya Prabowo disitu mau partainya Imin tapi kaga mau Imin jadi Cawapresnya. Yang bener aja rugi dong ,Negatif
@Fahrihamzah Owh maksudnya pak Prabowo ditipu Jokowi ya... Hmmmm ya ya.,Negatif
Saya tidak punya waktu untuk sakit hati dan saya tidak punya energi untuk dendam - Prabowo Subianto - https://t.co/CaNmB22y8L,Netral
@triwul82 #GERAKAN_1PUTARAN_02MENANGTELAK Kangen liat Prabowo-Gibran dilantik menjadi Presiden &amp; wapres RI Pertama kali dlm sejarah presiden lantik anaknya jd wapres dpt kabar td pagi Seniman Butet meninggal krn sakit jantung kepingin ngasih bunga ke keluarganya eh ternyata cuma mimpi!,Positif
H-1 guys... Ayo persiapan mencoblos .. Mau Anies Prabowo ataupun Ganjar yang akan jadi Presiden siapapun Presidennya tetap saya dukung sepenuh hati.. Pilihan boleh beda tapi tetap satu jiwa jiwa Pancasila jiwa Indonesia https://t.co/qghCsKRsPZ,Netral
@Nekareanemesis @RandomWorldWar @realfedinuril @prabowo @Dahnilanzar Ada prinsif2 fundamental yg tsk bisa kita tabrak begitu saja. Istri mu itu hal prinsif sama hal dgn dasar berdirinya Republik ini dgn penentangan penjajahan secara konstitusional. Menjalain hubungan gelap dgn Israel itu pengkhianatan pda prinsif2 dasar kita bernegara.,Netral
Jangan tonton sampai habis Prabowo gibran 1 putaran itu https://t.co/MbqyXKA7Vf,Negatif
@SahabatAKost @prabowo @gibran_tweet BANSOS duwit negara utk kampanye PRABOWO https://t.co/gKrTWn8C2i,Negatif
@bimbingan_islam Cc: prabowo. Bukti nyata,Netral
Susahnya mengais rejeki di negara orang Bersyukurlah kalian yang dipimpin Prabowo Gibran https://t.co/LFGLYPBfQv,Positif
@herupurnom0 @realfedinuril @prabowo @Dahnilanzar Paling cuma di read doang,Negatif
