created_at,full_text,username
Thu Sep 05 16:07:36 +0000 2024,@hnurwahid @PKSejahtera @aniesbaswedan Gw Herman pak..kok pak Anies yg mau bikin partai..Hanya PKS yg ketar ketir..padahal partai lain no comment..,daulay_margana
Thu Sep 05 16:06:18 +0000 2024,@ruliemaulana @ElizarIrnold @PKSejahtera @aniesbaswedan Makin lucu nih jongoss cari pembenaran dilain hal Anies disuruh cari teman Koalisi atau kursi dgn nasdem.... Kolor orange yg lucu ajak²lah pak prabowo... Masa cuma nasdem dan pkb yg diajak ngemis. com,FaizalJamalNA1
Thu Sep 05 16:05:11 +0000 2024,Pengusutan tindak pidana korupsi yg dilakukan dinasti Joko Widodo HARUS JADI PRIORITAS negara yg diwakili KPK ICW Tipikor DPR RI Kejaksaan RI Anies Ahok Susi Pudjiastuti Yenny Wahid PDIP PKB PKS NasDem BEM SI BEM UI UGM UniversitasIndonesia Koran Tempo https://t.co/9tcuSkpO3t,Mat16_16
Thu Sep 05 16:03:55 +0000 2024,@unmagnetism Andai anies org korea utara ,SkoncelB
Thu Sep 05 16:03:44 +0000 2024,@tifsembiring Tdk perlu lagi kalian kaum munafik kami pendukung bapak Anies sdh menganggap kalian kaum datjal akhir jaman,MochFadzil7
Thu Sep 05 16:03:30 +0000 2024,@stunningjongin oh exactly vote for newjeans ! https://t.co/OUNxRVoD68,j3anies
Thu Sep 05 16:02:45 +0000 2024,@ILCTalkshow Lah warga udh jelas itu merasakan kinerja anies ini si tua malah ngalor ngidul,Coubel8
Thu Sep 05 16:02:35 +0000 2024,Kayaknya doi bikin gaya kampanye seperti Desak Anies ya memang bagian dari extension dari pribadinya. Senang berbagi gagasan dan berbaur. Dan pengen jadiin momen kampenya kemarin bagian dari legacy-nya. Menang atau gak di kontestasi pilpres or pilkada ya bonus aja.,oianas_
Thu Sep 05 16:02:27 +0000 2024,@Chavesz08 Masih aje... Ngurusin anies.... Buset dahh....caoek bener idup ente,Firdaus437
Thu Sep 05 16:02:07 +0000 2024,@rifkypras_ @dhemit_is_back He TOLOL.ngapain lu bawa2 Anies?,irfanandrean81
Thu Sep 05 16:02:02 +0000 2024,@hazbyihsany @PKSejahtera @aniesbaswedan Biarin pengkianat rakyat mestinya kelaut aja.ini bukan tentang anies ini tentang suara kami yg telah kami berikan.,chalempong21
Thu Sep 05 16:01:57 +0000 2024,@tifsembiring Memang kurang etis sih seakan itu ucapan langsung. Klu menyimpulkan baiknya; Anies dianggap/disebut tidak berjasa buat Pks.,jpatading06
Thu Sep 05 16:01:33 +0000 2024,@TorankuA11300 @WafaNurulI33097 @tekarok007 Haha ogeb! Disuruh searching mlh ambil data rangkuman yg gk jelas sumbernya drmna Eitss gw bkn penjilat kyk lo! Baca dl twit2 gw sblmnya anies itu bkn pejabat kaesang itu anak pejabat Yg gw permasalahkan gratifikasinya bnr apa bkn Gak apple to apple DUNGU boy,esipra1
Thu Sep 05 16:01:05 +0000 2024,@ArepperD @APUKAMI1 Am 100% positive the word implies that Van was able to transform to grendel without Anies once according to how the word is written in there Japanese is less direct at implications than more direct.,Rean54541
Thu Sep 05 16:00:19 +0000 2024,@cakimiNOW @aniesbaswedan @radityadika Keren banget bisa liat keseriusan Mas Anies dalam mendukung dunia seni dan budaya semoga semakin banyak pemimpin yang peduli seperti beliau.,llildagh0088
Thu Sep 05 15:59:52 +0000 2024,ganti banh jangan anies coba politikus lain kayanya opini di qrt sm rep lu bakalam beda wakakakak,vouymousz
Thu Sep 05 15:59:19 +0000 2024,inget banget lagi orang yang ngelecehin gue secara verbal kemaren bilang gini ke gue data anies itu udah dipegang sama yang berkepentingan kalau dia ada main dengan duit/korupsi. tinggal dibuka langsung runtuh. meanwhile him with his brightest smile:,bocilalonami
Thu Sep 05 15:59:08 +0000 2024,@MardaniAliSera @aniesbaswedan Sbnrnya pks tahu klo sampe anis bikin parte pks lah yg akan tergerus makanya ucapan bikin parte susah dan berat hnya ditujukan pd anies dan tdk pernah pd anis mata ataupun fahri Hamzah ,scsuroso
Thu Sep 05 15:57:57 +0000 2024,@GeiszChalifah Yg tepatnya bermubahalah itu Anies dg Pengurus PKS yg menyatakan dia sudah memberi deadline kepd Anies bung.. Krn mrkalah pelakunya. Klo seandainya jdi katakanlah Pimpinan PKS yg salah trus dia mati msh byk penggantinya..tpi klo Anies yg mati apa gk pesta groupnya Mulyono???,bennyindrawan06
Thu Sep 05 15:57:54 +0000 2024,@aniesbaswedan @partaigeloraid @anismatta @Fahrihamzah Padahal Fahri Hamzah nyerang terus sama Abah Anies tapi gak sakit hati dengan berbela sungkawa dan mendoakan Ibunya. Semoga mata hatinya Fahri terbuka dan kembali ke jalan yang lurus.......,proofdo
Thu Sep 05 15:57:21 +0000 2024,@ferrykoto Fer ... Ada apa dengan Anies ..katanya lu benci banger ama Anies ..Anies orang yg punya Erika tertinggi diantara para politisi,djokerrr_
Thu Sep 05 15:57:11 +0000 2024,@frans_surya @MardaniAliSera @hnurwahid @dapitnih @UusRsd @AjiTeguh04 @aindraku mau cebokin sekenceng apapun pks nasdem udah khianat apalagi pks tanpa kejelasan meninggalkan anies bisa jadi kayak jebakan supaya gak independen. gabung kim agak gpp lah tapi dukung kaesang boby itu bangke sih fix 2029 saya dan keluarga tinggalkan pks.,yudi_bhe
Thu Sep 05 15:56:44 +0000 2024,ANIES BISA BERNASIB SEPERTI AMIEN RAIS JILID DUA? I Ft. Zulfan Lindan https://t.co/A1Wy8gbztG lewat @YouTube,dellov
Thu Sep 05 15:55:26 +0000 2024,Benar analisa Bang Zulfan Anies sudah menjadi the next Amien Rais. Sebaiknya the loosers berkumpul saja dng sesama orang kalah sepertinya se ideologi mereka. Mereka telah ditinggal semua partai.,wongmlaku
Thu Sep 05 15:55:24 +0000 2024,@ferizandra Yaelah gara2 tweet ini Pak Anies yang kena lagi ,HettyPraba
Thu Sep 05 15:55:24 +0000 2024,Ketiga alasan kalian tdk mendukung taroklah bukan Anies Kader Sendiri sbg Cagub krn kurang kursi terakhir terbuka peluang kok gak diambil. Kok tetap ngotot gabung yg melanggar etika dan moral? Sepicik itukah cara yg katanya Partai Dakwah? Dakwahnya dimana yg buruk didukung?,AH_SiregarXIX
Thu Sep 05 15:55:21 +0000 2024,Bang @tifsembiring Allah jd saksi betapa saya merekomendarikan abang utk dicoblos keluarga teman2 didapil Abang. Dgn harapan tetap menentang mereka yg tak beretika &amp; bermoral dlm berbangsa. Jadi salah bang ini bkn soal Anies. Ini soal pengkhianatan pd suara yg sdh kami beri.,AH_SiregarXIX
Thu Sep 05 15:55:15 +0000 2024,@ResaGn @ZoneVenomWar jiahh buzzer anies lg nyebok,MrHeisenbergggg
Thu Sep 05 15:55:10 +0000 2024, heoll beliau berjalan sendiri sesantai itu ke kpk?? dgn membawa map..?? tunggu apakah.... apakah beliau akan mengakhiri anak2 mulyono yg tdk tau malu itu dgn tangannya sendiri? daebakk... jinjja spijlesss.... so much SALUTE~ to abah anies. berikan daesang kpdnya skrg jg!! ,lowkeyvaneela
Thu Sep 05 15:54:53 +0000 2024,gajelas lu jangan ngehukum orang karena kesalahan orang lain. Cuman karena mulyono begitu semua orang lu pukul rata bakal kayak dia. Lagian anies bisa ngapain sih punya jabatan juga kaga tu orang cuman pengangguran gagal nyagub.,N4N60R14N
Thu Sep 05 15:54:53 +0000 2024,@stelkendo_ae @Marko_Omang pendukung pks yang militan mah anti owi udahlah tinggal ngakuin aja kaum elu emang banyak ektrimis,bustwedan
Thu Sep 05 15:53:50 +0000 2024,@ILCTalkshow @karniilyas ANIES DENGARKAN TANGISAN RAKYAT KECIL https://t.co/NiKbtrsdXQ https://t.co/uAWH1yvQQM,widarto63285827
Thu Sep 05 15:53:42 +0000 2024,@aniesbubble Mendatangi KPK dengan tersenyum lebar Ladies and gentleman Anies Baswedan,tinywiw
Thu Sep 05 15:53:30 +0000 2024,@nwjnsistheloml please delete so we don t confuse people more !,j3anies
Thu Sep 05 15:53:10 +0000 2024,@NenkMonica @ridwankamil Yuk... kita gaungkan #coblossemua demi kembalinya pak anies kembali pimpin jakarta,D4N4NG1986
Thu Sep 05 15:53:06 +0000 2024,@aslijawasejati heran gw sama hater anies atau pemilih mulyono nih.. nalar nya ko dangkal2 yak,Farhan_ardianR
Thu Sep 05 15:53:00 +0000 2024,@Ayah3bidadari @frans_surya @MardaniAliSera @hnurwahid @dapitnih @UusRsd @AjiTeguh04 @aindraku pendukung anis hamppir menyeluruh suarakan 2019gantipresiden anies mah gub saat itu gak kampanye tapi kita tahu arahnya kemana,yudi_bhe
Thu Sep 05 15:52:58 +0000 2024,@LodayaMalam @aniesbaswedan PKS itu loyalis Anies dari 2017 Aniesnya saja yg ogah gabung PKS entah dgn pertimbangan apa kalau gabung di PKS mungkin kelak 1-2 tahun lagi bisa jadi ketum PKS,7_13l4CK
Thu Sep 05 15:52:51 +0000 2024,@KompasTV Hahahahaa ngincernya Anies dapetnya Cak Lontong..,lizalinda17
Thu Sep 05 15:52:25 +0000 2024,@dinorawrurus fake news kahh ay?,scoupskibidi
Thu Sep 05 15:51:10 +0000 2024,@pandji Bang mic buat konten youtube lu belakangan kayanya kekencengan volumenya ya? Di konten Mas Anies sama Abdur. Rada pecah soalnya,hanipdj
Thu Sep 05 15:50:19 +0000 2024,Anies menggunakan jet pribadi saat jadi capres itu tdk melanggar hukum dari sisi apapun. Tetapi secara moral dia dan fansnya tidak lagi elok jika mengkritisi gaya hidup mewah orang lain.,Jhonkosmik
Thu Sep 05 15:48:19 +0000 2024,@ArepperD @APUKAMI1 But筈andアニエスが近くに居るタイミングだけ together indirectly implies that Van was able to transform to grendel even without Anies being in there.,Rean54541
Thu Sep 05 15:48:00 +0000 2024,Point 12 dan 14 buah Simalakama Bawa nama Anies Baswedan @PKSejahtera dzolim ya dzolim? Pilkada tangsel kenapa gk terus dukungan marsel? 2029 bye Salam anak jaksel,Memet78445759
Thu Sep 05 15:47:57 +0000 2024,Jokowi JK dulu masih oke lho menurut ane coba liat menteri menterinya ada Bu Susi Pak Jonan Pak Anies Pak Rizal Ramli dll sampe sempet 2019 agak goyah hampir milih 01 ,akbarperwira
Thu Sep 05 15:47:31 +0000 2024,dari netizen. HUMANIES juga patut dicurigai malah menjadi sponsor saat demo kawal MK dengan sediakan ambulance serta logistik selama demo berlangsung . Sila dicek @KPK_RI anies duit dari mana? @Mayapada0812 @temanduit @Jhonkosmik @choymarkochoy @yaniarsim @msaid_didu https://t.co/WDM1elgP39,lR3N_
Thu Sep 05 15:47:29 +0000 2024,@kulit_kcang @AaronDVankov enak ya jd anies ada aja orang aneh yg nyebokin wkwk,MrHeisenbergggg
Thu Sep 05 15:47:17 +0000 2024,@tifsembiring Terserah Anda para netizen tidak terpengaruh oleh Pak Anies justru terpengaruh kelakuan partai Anda mengatakan anti dinasti kenyataan pendukung dinasti munafik namanya ditambah anda membelokkan dukungan ke kelompok rezim lengkap antipati masyarakat terhadap kelompok Anda,SatyaPutra53806
Thu Sep 05 15:47:08 +0000 2024,@AfifFuadS Mang anies pas nyapres pegang jabatan? Jadi klo berima gratifikasi ya ga papap wong dia buka penggalangan dana malahan buat kampanye . Kamu kayaknya ga paham konteks gratifikasi deh kaesang itu anak presiden anaknya penyelenggara negara mana boleh terima gratifikasi ,syamfamily
Thu Sep 05 15:46:49 +0000 2024,@aniesbubble Gentleman bro don't fear to anyone but Allah. #ANIES #아니스,msazid_ali
Thu Sep 05 15:46:24 +0000 2024,@ArepperD @APUKAMI1 It's indirectly implied that Van was supposed to be able to turn Grendel only when Anies was there.,Rean54541
Thu Sep 05 15:45:35 +0000 2024,@bachrum_achmadi Klo PKS gak usung Anies di pilpres konstituennya akan lari maka hasilnya kursi didapat akan berkurang. Klo Nasdem dan PKB konstituen organiknya bukan pendukung Anies. Makanya dapat efek ekor jas dr non konstituen asli Nasden dan PKB. Jadi sama² diuntungkan sebenarnya.,Mileanies24
Thu Sep 05 15:44:30 +0000 2024,Pak Anies itu bukan Type Pemimpin yg Berjanji Tapi Melaksanakan Karna Pak Anies tidak bisa Maju bukan beliau yg sakit Hati ' Tapi kami Rakyat yg Sakit Hati ! * Warga Jakarta* https://t.co/IpTThdCN6H,ronaldy596
Thu Sep 05 15:44:17 +0000 2024,@Boediantar4 Kawin aja Anies bang kalau memang cinta,EsaKadam48168
Thu Sep 05 15:44:11 +0000 2024,@aniesbubble #ANIES,jakharmukesh
Thu Sep 05 15:43:44 +0000 2024,@H1m4_W4r1 @aniesbaswedan @aniesbubble Otak lu baik gak bekerjanya ?? mana bisa seorang Anies Baswedan yang hanya seorang diri berbuat seperti apa yang kalian sangka kan ??? otak kalian memang lembab.,RafliPadang
Thu Sep 05 15:43:38 +0000 2024,just click the link to vote for newjeans !!!! https://t.co/cybEgNfaJ0,j3anies
Thu Sep 05 15:42:18 +0000 2024,anies lagi,yumekuisyojyo
Thu Sep 05 15:41:42 +0000 2024,@Marko_Omang ah enggak juga anies itu toleransinya tinggi pembangunan gereja terbanyak di jakarta itu era anies loh btw aku kemarin pilih dia dan aku juga kristen.,Getjzebulon24
Thu Sep 05 15:41:26 +0000 2024,@aniesbubble Pak Anies arrived at the KPK on 220907. He came alone carrying a blue folder.,itzsps
Thu Sep 05 15:41:25 +0000 2024,@aniesbubble Interesting! Pak Anies arriving alone with a blue map definitely curious,8557f620c54e48d
Thu Sep 05 15:41:22 +0000 2024,@CakKhum Kok aku meyakini andai besokmpagi partai Anies Baswedan deklarasikan maka keder dan simpatisan @PKSejahtera yang rada muda 40 tahun ke bawah bedol.partai PKS tinggal di isi para manula yang ingin di dengar ogah mendengar ,ballambinlove
Thu Sep 05 15:40:59 +0000 2024,@tekarok007 Bukannya jet pribadi yang di naikin Anies itu punya partai pengusungnya ya?,yudhistira5teen
Thu Sep 05 15:40:19 +0000 2024,NEWJEANS HAS MADE IT TO THE FINAL ROUND FOR BEST GROUP AT THE VMAS ! PLEASE CLICK THE LINK TO VOTE FOR THEM !!! https://t.co/cybEgNfaJ0 https://t.co/ZeC8T7e5DX,j3anies
Thu Sep 05 15:40:12 +0000 2024,Siapa yg bilang faisal basri org benar .itu karena tdk punya jabatan kekuasaan saja sama dgn anies .di tinggalkan parpol baru mau ingin dirikan parpol selama ini kemana saja .sudah bilang parpol tersandung kekuasaan ingin buat parpol baru ingin ikut parpol .rusak atau benar,Puriadm47818
Thu Sep 05 15:40:09 +0000 2024,@Jhonkosmik Anies Terlalu Keren bang ....,IwidSoeryo
