"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1831524577702506616","Thu Sep 05 16:07:36 +0000 2024","0","@hnurwahid @PKSejahtera @aniesbaswedan Gw Herman pak..kok pak Anies yg mau bikin partai..Hanya PKS yg ketar ketir..padahal partai lain no comment..","1831725880307294304","","hnurwahid","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/daulay_margana/status/1831725880307294304","2226804476","daulay_margana"
"1831591548255137833","Thu Sep 05 16:06:18 +0000 2024","0","@ruliemaulana @ElizarIrnold @PKSejahtera @aniesbaswedan Makin lucu nih jongoss cari pembenaran dilain hal Anies disuruh cari teman Koalisi atau kursi dgn nasdem.... Kolor orange yg lucu ajak²lah pak prabowo... Masa cuma nasdem dan pkb yg diajak ngemis. com","1831725553315127506","","ruliemaulana","in","","0","0","0","https://x.com/FaizalJamalNA1/status/1831725553315127506","1354973175784726574","FaizalJamalNA1"
"1831725273295081527","Thu Sep 05 16:05:11 +0000 2024","0","Pengusutan tindak pidana korupsi yg dilakukan dinasti Joko Widodo HARUS JADI PRIORITAS negara yg diwakili KPK ICW Tipikor DPR RI Kejaksaan RI Anies Ahok Susi Pudjiastuti Yenny Wahid PDIP PKB PKS NasDem BEM SI BEM UI UGM UniversitasIndonesia Koran Tempo https://t.co/9tcuSkpO3t","1831725273295081527","","","in","","0","0","0","https://x.com/Mat16_16/status/1831725273295081527","1200227108565340161","Mat16_16"
"1831625986800283684","Thu Sep 05 16:03:55 +0000 2024","0","@unmagnetism Andai anies org korea utara ","1831724955350003881","","unmagnetism","in","","0","0","0","https://x.com/SkoncelB/status/1831724955350003881","1637476789605011458","SkoncelB"
"1831589806880801133","Thu Sep 05 16:03:44 +0000 2024","0","@tifsembiring Tdk perlu lagi kalian kaum munafik kami pendukung bapak Anies sdh menganggap kalian kaum datjal akhir jaman","1831724909967634916","","tifsembiring","in","Papua New Guinea","0","0","0","https://x.com/MochFadzil7/status/1831724909967634916","1553942847581143040","MochFadzil7"
"1831715256604959172","Thu Sep 05 16:03:30 +0000 2024","1","@stunningjongin oh exactly vote for newjeans ! https://t.co/OUNxRVoD68","1831724848738861548","","stunningjongin","en","room 227 | she/her ","0","0","0","https://x.com/j3anies/status/1831724848738861548","1591331785601945604","j3anies"
"1831609803518701793","Thu Sep 05 16:02:45 +0000 2024","0","@ILCTalkshow Lah warga udh jelas itu merasakan kinerja anies ini si tua malah ngalor ngidul","1831724660385575349","","ILCTalkshow","in","","0","0","0","https://x.com/Coubel8/status/1831724660385575349","1547262913400176640","Coubel8"
"1831724616940974316","Thu Sep 05 16:02:35 +0000 2024","0","Kayaknya doi bikin gaya kampanye seperti Desak Anies ya memang bagian dari extension dari pribadinya. Senang berbagi gagasan dan berbaur. Dan pengen jadiin momen kampenya kemarin bagian dari legacy-nya. Menang atau gak di kontestasi pilpres or pilkada ya bonus aja.","1831724616940974316","","","in","Buat Mulai Coding Career 👉🏻","0","0","0","https://x.com/oianas_/status/1831724616940974316","16705318","oianas_"
"1831551767949218185","Thu Sep 05 16:02:27 +0000 2024","0","@Chavesz08 Masih aje... Ngurusin anies.... Buset dahh....caoek bener idup ente","1831724584091177160","","Chavesz08","in","Parung, Indonesia","0","0","0","https://x.com/Firdaus437/status/1831724584091177160","1118886260376866816","Firdaus437"
"1831620093840929158","Thu Sep 05 16:02:07 +0000 2024","0","@rifkypras_ @dhemit_is_back He TOLOL.ngapain lu bawa2 Anies?","1831724502000267499","","rifkypras_","tl","","0","0","0","https://x.com/irfanandrean81/status/1831724502000267499","1815374350247399424","irfanandrean81"
"1830982466200576016","Thu Sep 05 16:02:02 +0000 2024","0","@hazbyihsany @PKSejahtera @aniesbaswedan Biarin pengkianat rakyat mestinya kelaut aja.ini bukan tentang anies ini tentang suara kami yg telah kami berikan.","1831724478323437704","","hazbyihsany","in","Leuwidamar, Indonesia","0","0","0","https://x.com/chalempong21/status/1831724478323437704","1605818053324726272","chalempong21"
"1831505789716197809","Thu Sep 05 16:01:57 +0000 2024","0","@tifsembiring Memang kurang etis sih seakan itu ucapan langsung. Klu menyimpulkan baiknya; Anies dianggap/disebut tidak berjasa buat Pks.","1831724457561616500","","tifsembiring","in","Jayapura","0","0","0","https://x.com/jpatading06/status/1831724457561616500","1605565409608228864","jpatading06"
"1831171018851045875","Thu Sep 05 16:01:33 +0000 2024","0","@TorankuA11300 @WafaNurulI33097 @tekarok007 Haha ogeb! Disuruh searching mlh ambil data rangkuman yg gk jelas sumbernya drmna Eitss gw bkn penjilat kyk lo! Baca dl twit2 gw sblmnya anies itu bkn pejabat kaesang itu anak pejabat Yg gw permasalahkan gratifikasinya bnr apa bkn Gak apple to apple DUNGU boy","1831724360245420127","","TorankuA11300","in","Cikarang, Indonesia","0","0","0","https://x.com/esipra1/status/1831724360245420127","1140815636269944833","esipra1"
