"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1831031083561021825","Thu Sep 05 16:02:57 +0000 2024","0","@ulukulukuluk_ @__nyai__ @PakarINTELek Wakil ketua TKN Prabowo - Gibran","1831724709903528097","","ulukulukuluk_","in","","0","0","0","https://x.com/PadasGempal99/status/1831724709903528097","1613826152350777345","PadasGempal99"
"1831724580383445092","Thu Sep 05 16:02:26 +0000 2024","0","SBY Komentari Transisi Pemerintahan Jokowi ke Prabowo Begini Katanya https://t.co/JaXNgYzf6f","1831724580383445092","","","in","","0","0","0","https://x.com/Saepul37884466/status/1831724580383445092","830819626548236288","Saepul37884466"
"1831724535986712743","Thu Sep 05 16:02:15 +0000 2024","0","Soal Keputusan Indonesia Gabung BRICS Menlu Retno: Ada di Tangan Prabowo https://t.co/nXUiL4jIDf","1831724535986712743","","","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/SINDOnews/status/1831724535986712743","231355136","SINDOnews"
"1831724478889705590","Thu Sep 05 16:02:02 +0000 2024","0","Prabowo muda kok mirip ya sama Jirayut. https://t.co/YMosED9fUS","1831724478889705590","https://pbs.twimg.com/media/GWuXs_ka8AAm76Z.jpg","","in","Indonesia","0","0","0","https://x.com/pncsyh/status/1831724478889705590","1683056274626478080","pncsyh"
"1831122012544339984","Thu Sep 05 16:01:40 +0000 2024","0","@Ryan_Fighter7 @cangporcang1 Prabowo sampai kepilih jadi presiden aja udah bahaya belom lagi Hasyim...gak kebayang 5th ke depan kaya apa ini negara.","1831724387579638218","","Ryan_Fighter7","in","jkt","0","0","0","https://x.com/hedyviar/status/1831724387579638218","1244538576","hedyviar"
"1831344491422482676","Thu Sep 05 16:01:31 +0000 2024","0","@TirtoID Jokowi dan prabowo ini bkn org miskin tp serakahnya naudzubillah.","1831724349143052324","","TirtoID","in","Bogor","0","0","0","https://x.com/SujarMUFC/status/1831724349143052324","338528250","SujarMUFC"
"1831326002791985591","Thu Sep 05 16:01:02 +0000 2024","0","@IwanIwanely72 @prabowo Nanti alasannya Kan ngomongnya kalo perlu ","1831724228053496034","","IwanIwanely72","in","Jakarta Capital Region, Indonesia","0","0","0","https://x.com/ixanrantas79/status/1831724228053496034","229065758","ixanrantas79"
"1831326002791985591","Thu Sep 05 16:00:42 +0000 2024","0","@fotokayuku @prabowo ","1831724144456782223","","fotokayuku","qme","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/IwanIwanely72/status/1831724144456782223","1603537926482145280","IwanIwanely72"
"1831160004571005213","Thu Sep 05 15:59:58 +0000 2024","0","@anonjawa pak @prabowo","1831723958296834231","","anonjawa","und","Kota Bandung, Jawa Barat","0","0","0","https://x.com/0xraibx/status/1831723958296834231","1664621274583425027","0xraibx"
"1831723890894368982","Thu Sep 05 15:59:42 +0000 2024","0","OJO NGEMENG WAE PAK. EKSEKUSEK WES NDANG BUDAAALLL @prabowo","1831723890894368982","","","in","Krypton","0","0","0","https://x.com/anjinxkampunx/status/1831723890894368982","1473340308075155459","anjinxkampunx"
"1831326002791985591","Thu Sep 05 15:59:33 +0000 2024","0","@Amethyst_Mantle @prabowo wkwkw","1831723856190746693","","Amethyst_Mantle","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/IwanIwanely72/status/1831723856190746693","1603537926482145280","IwanIwanely72"
"1831706340634595584","Thu Sep 05 15:58:33 +0000 2024","0","@prabowo (((( YANG MAHA MULIA ))))","1831723603521577225","","prabowo","tl","","0","0","0","https://x.com/zimbrongs/status/1831723603521577225","728597928","zimbrongs"
"1831723546613313966","Thu Sep 05 15:58:19 +0000 2024","1","JAKARTA Kapolri Jenderal Listyo Sigit Prabowo dan Panglima TNI Jenderal Agus Subiyanto meninjau langsung posko operasi Tribrata Jaya Gelora Bung Karno (GBK) dan Stadion Madya. Hal itu untuk memastikan kesiapan pengamanan Misa Agung oleh Paus Fransiskus https://t.co/WLqGoBD3K8","1831723546613313966","https://pbs.twimg.com/media/GWuW20Ca8AYsFQR.jpg","","in","Bontang, Kaltim","0","0","0","https://x.com/BontangSkck/status/1831723546613313966","1498522787837005827","BontangSkck"
"1831177607884272080","Thu Sep 05 15:57:47 +0000 2024","0","@regar_op0sisi @prabowo disuruh mundur sama abdullah tuh","1831723409111384335","","regar_op0sisi","in","Cybertron","0","0","0","https://x.com/daddycoky/status/1831723409111384335","1794164186626609152","daddycoky"
"1831242436800291014","Thu Sep 05 15:55:51 +0000 2024","0","@5teV3n_Pe9eL @BosPurwa @prabowo Jangan gitu ih kasian Belimbing sayur ","1831722924136657242","","5teV3n_Pe9eL","in","","0","0","0","https://x.com/rainy_snowflake/status/1831722924136657242","1604421755933986818","rainy_snowflake"
"1831706340634595584","Thu Sep 05 15:53:22 +0000 2024","0","@prabowo Leitstar ","1831722298157756498","","prabowo","is","from useless, to useful","0","0","0","https://x.com/achmad_julianto/status/1831722298157756498","317657804","achmad_julianto"
"1831706340634595584","Thu Sep 05 15:53:14 +0000 2024","0","@prabowo Sekalian pake kata SANG MAHA MULIA gitu biar proo ","1831722264213254529","","prabowo","in","","0","0","0","https://x.com/Panitia68285950/status/1831722264213254529","1675174076858650624","Panitia68285950"
"1831722240083423729","Thu Sep 05 15:53:08 +0000 2024","0","willy&gt;prabowo","1831722240083423729","","","en","","0","0","0","https://x.com/opiiiess/status/1831722240083423729","2616682687","opiiiess"
"1831722099637112977","Thu Sep 05 15:52:34 +0000 2024","1","@jokowi @ListyoSigitP @prabowo","1831722099637112977","","jokowi","qam","","0","0","0","https://x.com/Pro323516Pro/status/1831722099637112977","1772981315773865984","Pro323516Pro"
"1831321116213948773","Thu Sep 05 15:51:46 +0000 2024","0","@cobeh2022 Bagaimama menurut pak @prabowo","1831721896871866822","","cobeh2022","in","","0","0","0","https://x.com/Bang_Oemarr/status/1831721896871866822","1723183399458988032","Bang_Oemarr"
"1831721789569089807","Thu Sep 05 15:51:21 +0000 2024","0","Ya mgkn gara2 ini kali ya bang @HisyamMochtar jadi si @grace_nat @psi_id nggak di salami pak Prabowo jejak digital emang perih...","1831721789569089807","","","in","","0","0","0","https://x.com/YudiMurni/status/1831721789569089807","335100317","YudiMurni"
"1831721736519430204","Thu Sep 05 15:51:08 +0000 2024","0","Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo https://t.co/FwbJtJmxFm. dan Panglima TNI Jenderal TNI H. Agus Subiyanto S.E. https://t.co/FwbJtJmxFm. meninjau langsung posko ops Tribrata Jaya di Gelora Bung Karno (GBK) dan di Stadion Madya #ToleransiPilarKesatuan https://t.co/AtKCPIRitR","1831721736519430204","https://pbs.twimg.com/media/GWuVNima8AMLxKZ.jpg","","in","","0","0","0","https://x.com/KunthiWidya/status/1831721736519430204","1501232651889348611","KunthiWidya"
"1831685882329625085","Thu Sep 05 15:51:05 +0000 2024","0","@krtkart_ Birunya biru seragam pendukung prabowo gibran bukan","1831721726021193858","","krtkart_","in","Klaten, Jawa Tengah","0","0","0","https://x.com/bayukementrian/status/1831721726021193858","1117391500491415552","bayukementrian"
"1831721586627580074","Thu Sep 05 15:50:32 +0000 2024","0","Membayangkan Mega berpikir rasional dan berdamai dng Jokowi dan Prabowo untuk membesarkan dan memajukan negara ini di akhir hayatnya. Wow........ bisa jadi Trio Musketeers penerus founder bangsa menjadi kebanggan Bapaknya.","1831721586627580074","","","in","Ibu Pertiwi Nusantara","0","0","0","https://x.com/wongmlaku/status/1831721586627580074","85390931","wongmlaku"
"1831721492368990656","Thu Sep 05 15:50:10 +0000 2024","0","Menteri Pertahanan (Menhan) RI Prabowo Subianto bertemu Sultan Brunei Darussalam Yang Maha Mulia Seri Sultan Haji Hassanal Bolkiah di Istana Nurul Iman Brunei Darussalam Kamis (5/9/2024). https://t.co/ty1cpn6FEX","1831721492368990656","","","in","Aceh","0","0","0","https://x.com/serambinews/status/1831721492368990656","64635651","serambinews"
