created_at,full_text,username
Tue Feb 13 23:59:44 +0000 2024,@cobeh2022 Mungkin ini sebabnya mengapa akhirnya Jokowi mendukung Prabowo daripada Ganjar.,Razieq97
Tue Feb 13 23:59:37 +0000 2024,@AndreasSolusi Semoga pak Anies dan Ganjar menang diputaran pertama dan masuk putaran kedua Aamiin Yaa Robbal 'Alamin ,zoelnasution1
Tue Feb 13 23:59:27 +0000 2024,Ganjar-Mahfud membawa Indonesia bersinar di dunia. Ganjar Pranowo hanya yang terbaik untuk rakyat @DrexterFlame #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/P2fMbAhrJr,mawarsiskat
Tue Feb 13 23:59:05 +0000 2024,@CNNIndonesia kagak mau gua punya pemimpin yg beginian. ada yg cerdas jangan kita sia kan seperti pak anies. Bismillah yah. jika kalahpun seenggaknya kita sudah berjuang dan kita lanjutkan bersama pak ganjar. https://t.co/mZjkB7Bcdc,AzizahAqila__
Tue Feb 13 23:59:02 +0000 2024,Ganjar - Mahfud memastikan bahwa suara setiap rakyat Indonesia akan dihormati dan dihitung dengan teliti dalam proses pemilu di TPS. Tiga Kali Lebih Sejahtera Untuk Indonesia Hebat! @cakervl #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/pjueyOM6Lm,MiaNursali8
Tue Feb 13 23:58:48 +0000 2024,@zy_zy_its_me Aku hanya ga respect aja Tp kalo pilih ya ttp Anies ga yang lain. Eh tp ganjar bsa jd alternatif kalo anies kalah sih https://t.co/ByasRq4BwD,PtrSyaqir
Tue Feb 13 23:58:37 +0000 2024,@ganjarpranowo Makin Optimis Menangkan pak Ganjar jadi presiden kita,thyeir
Tue Feb 13 23:58:33 +0000 2024,@99propaganda @prabowo Kami pecinta pak Ganjar pemimpin terkuat sepanjang masa https://t.co/jnpFKOU49g,PaniLeoni
Tue Feb 13 23:55:18 +0000 2024,Ganjar-Mahfud merangkul masyarakat Solo dan Solo merangkul mereka kembali dengan cinta dan dukungan . Ganjar Pranowo hanya yang terbaik untuk rakyat @2wishkey #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/8FsvaaLqky,salsabila_90557
Tue Feb 13 23:55:17 +0000 2024,Dari anak-anak hingga orang tua semua bersatu padu mendukung Ganjar-Mahfud sebagai pilihan yang tepat untuk memimpin negeri . Ganjar Pranowo hanya yang terbaik untuk rakyat @AbdulMamat19 #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/4KfVzXZC1W,bdafendraaa
Tue Feb 13 23:55:02 +0000 2024,@tvOneNews Hadehh udh paling terbaik mahh paslon AMIN saja krn memilih yang tidak terlalu buruk di banding yang lain lalu Ganjar sasaran utama ketika anies gagal https://t.co/hm9yV3fBL9,RgSyifa89
Tue Feb 13 23:54:48 +0000 2024,@Dennysiregar7 Pingin nyoblos Ganjar Tapi kami di proyek ga bisa nyoblos karena KTP nya bukan warga lokal. Sedih . Semoga 03 menang. @Dennysirregar,ikiiart
Tue Feb 13 23:54:37 +0000 2024,@CNNIndonesia Kita maksimakan suara kita untuk pak anies yah. kalau ternyata belum cukup kita berjuang ke pak ganjar yah. Asalkan bukan PS aja. https://t.co/T2iQdy93WW,primasari11__
Tue Feb 13 23:54:35 +0000 2024,@ibnu123123 @GL_Filosufi Andai jkw mendukung ganjar Apa praktek bansos n pj tdk terjadi? Ah rasanya g mungkin pdip g tau menahu,agbudisan
Tue Feb 13 23:54:23 +0000 2024,Inisiatif Ms Ganjar untuk menyediakan obat esensial di setiap Pusk3smas memastikan masyarakat memiliki akses terhadap pengobatan yang dibutuhkan @_wahyudl23 #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/ZKBPXiD0B2,nabilladewiii
Tue Feb 13 23:54:15 +0000 2024,@talifia_ Pilih Anies Dukung Ganjar Coblos Prabowo,ricepicker99
Tue Feb 13 23:54:13 +0000 2024,@ganjarpranowo Satukan suara untuk selalu mendukung pak Ganjar Pranowo,al_sotea
Tue Feb 13 23:54:13 +0000 2024,Ini Lokasi TPS Tempat Anies Prabowo dan Ganjar Nyoblos https://t.co/1D7oPNOsMQ,cnbcindonesia
Tue Feb 13 23:54:08 +0000 2024,@AndreasSolusi Jokowi kali yg gak punya khianati Ganjar,Arif_Analyst
Tue Feb 13 23:54:03 +0000 2024,@igoraithab Kayaknya pak ganjar makin lama makin ganteng deh tak coblos ah bathuk e dan masyarakat tidak tau,adreafarandika
Tue Feb 13 23:53:57 +0000 2024,feelingku ganjar lgsg gaspol (pendukunge stay quiet soale),budiimaann
Tue Feb 13 23:53:57 +0000 2024,@KompasTV siap pilih paslon 03 ga siiii gaspolll in pak Ganjar untuk hari iniii,rrainymuach
Tue Feb 13 23:53:49 +0000 2024,Selamat pagi Indonesia. Jangan lupa nyoblos. Yang penting: Coblos Ganjar Mahfud. https://t.co/OW5mmYt6ry,171cakmus
Tue Feb 13 23:53:33 +0000 2024,@DokterTifa Bersama sama fokus untuk menjamin pak anies menang namun kalo sampe kalah sih saya mendukung pak Ganjar aja https://t.co/SxsvOJN5Mg,sayahmaul
Tue Feb 13 23:53:33 +0000 2024,gue lebih sreg denger anies ngomong atau ganjar ngomong. kl pa prabs gatau knp gue gasreg dari suara dan cara penyampaian. kek suara yg gabakalan gue mau denger aja gt ga keliatan sebagai pemimpin yg cocok dari suara aja ,yourgfcala
Tue Feb 13 23:53:19 +0000 2024,@VaniaKiara3002 @AndreasSolusi Level anies dan ganjar yg di usung jadi capres ente bilang sampah?? Lah ente ngatain kya gtu level nya sbg apa? yg terurai dlm sapitenk?? ,kangsla91377426
Tue Feb 13 23:53:19 +0000 2024,@ganjarpranowo Yuk bisa yuk kita dukung sepenuhnya untuk pak ganjar pranowo,KarinNatas10
Tue Feb 13 23:53:19 +0000 2024,Ganjar-Mahfud jawara baru di panggung politik Indonesia. Ganjar Pranowo hanya yang terbaik untuk rakyat @diodesaa #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/q9jj5cRXML,juniafijarrr1
Tue Feb 13 23:53:09 +0000 2024,@AndreasSolusi ..dan GP jg tdk gila jabatan...dan yg psti kalopun Ganjar yg jadi Prabowo tidak layak secara medis,StannisRagga
Tue Feb 13 23:53:07 +0000 2024,@CNNIndonesia jangan mau pilih pemimpin yg diktator seperti nomor dua. pilihlah yg cerdas dan bisa kerja seperti pak anies dan pak ganjar. yuk ke pak agnajr diputaran kedua yah. https://t.co/RpDWn2If5U,Latifahananda__
Tue Feb 13 23:53:03 +0000 2024,@TeddGus @ganjarpranowo Aslinya mahh emang udh paling top kita lilih anies agar menang putaran pertama tapi kalo tidak lolos lebih baik Ganjar ajah gk sih https://t.co/4pjQ8nQLzQ,RgSyifa89
Tue Feb 13 23:53:01 +0000 2024,mau yg menang anies mau yg menang prabowo mau yg menang ganjar padahal yg jelas jelas menang dan gacor di tahun 2024 adalah MU dan Ferrari MENYALAA,rockysibatuu
Tue Feb 13 23:52:51 +0000 2024,Pak Ganjar - Pak Mahfud menegaskan bahwa kebersamaan adalah kunci kesuksesan dalam menjaga proses pencoblosan. Gandakan Kesejahteraan Raih Kemakmuran Berkelanjutan @cchewyygumm #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/3IaEJDDbft,NYulinda9
Tue Feb 13 23:52:48 +0000 2024,konyol ni saksi presiden pdi malah ngak mau ganjar menang ,ayaflyies
Tue Feb 13 23:52:48 +0000 2024,@tvOneNews Keren poll Sukses teruss kedepannya Pak Ganjar dan Pak Mahfud semoga menang,ElsaAzizah_
Tue Feb 13 23:52:46 +0000 2024,@mdrfhyt RK paling takut sama dia as a politisi n counterparts juga karna RK Ketua TKD 02 Jabar si Ono Ketua TPN 03 Jabar. Gitu tau si Ono yang pegang Ganjar di Jabar sebenernya RK juga rada ngeri. Karna gerilya si Ono ini sukses jelekin abis aja program RK dijamin 02 juga lungsur sih,FelixSGL1
Tue Feb 13 23:52:36 +0000 2024,Dengan Vot3 Love kita dukung perjuangan Ganjar - Mahfud untuk Indonesia yang lebih sejahtera. Ganjar Pranowo terbukti mensejahterakan @PBajolijo27 #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/ko413dQXtr,w4wanadiii
Tue Feb 13 23:52:32 +0000 2024,Kita pastikan hari ini Ganjar Mahfud menang! #GanjarMahfud2024 Coblos nomor 3! #GanjarMahfudM3nang #GanjarMahfud https://t.co/h44tF28Lc6,ciantra_chintra
Tue Feb 13 23:52:13 +0000 2024,Ganjar: Pak Ahok Itu Jujur Itu yang Saya Kenal https://t.co/rWWD6ECp1H,GesuriID
Tue Feb 13 23:52:11 +0000 2024,@ganjarpranowo Pengen juga ke Semarang menikmati kopi yang di rekomendasikan pak Ganjar,RealmeSubo72228
Tue Feb 13 23:52:10 +0000 2024,Hajatan Rakyat Ganjar-Mahfud di Banyuwangi Alam Ganjar Tampil Duet Bareng NDX AKA Lantunkan Lagu 'Nemen' https://t.co/tO91c6tNbj,GesuriID
Tue Feb 13 23:52:09 +0000 2024,@Bisniscom Yang paling mumpuni udah pasti pak anies.. Jika di putaran pertama sampe pak anies kalah nanti mendingan saya bralig ke pak Ganjar https://t.co/EjuFmNZADm,sayahmaul
Tue Feb 13 23:52:06 +0000 2024,Usai Mencoblos Ganjar Bakal Temui Megawati https://t.co/kHbZPb4ApN,GesuriID
Tue Feb 13 23:52:06 +0000 2024,Keberpihakan Mas Ganjar terhadap rakyat kecil dan menengah membangun harapan bahwa setiap warga negara akan mendapat perlakuan yang adil. @TaErAEcuter #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/PP97LyCcCf,Julietamariee
Tue Feb 13 23:52:00 +0000 2024,@ganjarpranowo Gaya pak Ganjar alami sekali gak ada kesan dibuat2. Salut Pak dengan ketulusannya semoga berlanjut terus seperti ini. ,JHSinurat
Tue Feb 13 23:51:51 +0000 2024,Dukung Ganjar-Mahfud mereka punya chemistry yang pas untuk memimpin . Bersama Ganjar kita sejahtera @Munawarkun #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/q7pxzCpGwL,auroraaasha
Tue Feb 13 23:51:42 +0000 2024,@ganjarpranowo Pak Ganjar sosok calon pemimpin yang sangat merakyat sekali,PikoPika09
Tue Feb 13 23:51:39 +0000 2024,Ganjar - Mahfud mengajak seluruh pendukungnya untuk memberikan contoh terbaik dalam menjaga proses pemilu yang bersih di TPS. Ganjar Pranowo terbukti mensejahterakan @hokitaro #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/35jEPZCopl,YAvesani10
Tue Feb 13 23:51:35 +0000 2024,Sejauh ini baru 2 org di sini yang pake merah putih aka GANJAR PRANOWO sisanya blm keliatan. Jangan harap Anies menang kalo di sini. Tapi gpp asal bukan si orba yg menang.,eloisepickles
Tue Feb 13 23:51:30 +0000 2024,@CNNIndonesia AMIN kalah diputaran pertama saya pilih Ganjar aja deh https://t.co/wYPj565LXg,karinkaaza
Tue Feb 13 23:51:29 +0000 2024,@MurtadhaOne1 Selain TV MNC group ada ga Ganjar menang,TedyIra88122579
Tue Feb 13 23:51:15 +0000 2024,@liputan6dotcom Eh pacarku kalo Anies nggak menang di putaran pertama lebih bijak tuh pindah dukung Ganjar daripada ngeyel terus dengan 02 yang gak bisa dipercaya https://t.co/azbLcBNE3C,andiraness
Tue Feb 13 23:51:10 +0000 2024,PRABOWO sudah BERBAKTI n BERJUANG buat BANGSA n NEGARA pada zamannya ANIES n GANJAR sudah JADI/BISA apa?O baru bisa MERAMBAT n MERANGKAK ya?.......sedangkan ANIES sama GANJAR paling baru jadi EMBRIO ya kan?! https://t.co/lzsubSdfeI,ArdoyantoE
Tue Feb 13 23:51:07 +0000 2024,@TeddGus @ganjarpranowo Kami selalu yakin pada pak Ganjar akan jadi yang ternaik kedepannya lebih pilih Ganjar sebagai pilihan kedua setelah Anies Baswedan https://t.co/6BzHbOykxd,HamidFr25
Tue Feb 13 23:51:02 +0000 2024,@liputan6dotcom Nih bro kalau Anies kandas di putaran pertama mungkin solusinya ya mencari pendamping yang lebih oke misalnya mendukung Ganjar https://t.co/aDSdCGw4Wv,amaqirana
Tue Feb 13 23:51:00 +0000 2024,Sikap tegas terhadap korupsi adalah sesuatu yang sangat dibutuhkan dan Mas Ganjar menunjukkan bahwa dia tidak akan mentolerir praktik-praktik yang merugikan rakyat. @saaecaa #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/xtY16q4jHe,putriiiwss
Tue Feb 13 23:50:59 +0000 2024,@ryanandagans @M45Broo Oke deh gasken ganjar mahfud,Lexi94653899
Tue Feb 13 23:50:55 +0000 2024,Ganjar-Mahfud wakil yang siap mengemban tugas mulia untuk rakyat. Bersama Ganjar kita sejahtera @drinkinhippo #GanjarMahfud2024 #KitaAdalahTiga #Coblos3 https://t.co/CaTC48tawK,okylestariiii1
Tue Feb 13 23:50:51 +0000 2024,@liputan6dotcom Mas kalo Anies kalah di putaran pertama saran gue sih mending beralih dukung ke Ganjar lah biar lebih awas https://t.co/Mb6O1vIyY2,anicadwi
Tue Feb 13 23:50:40 +0000 2024,@liputan6dotcom Lah kalau Anies nggak menang di putaran pertama mending kita geser dukungan kita ke Ganjar aja deh daripada tetap setia dengan 02 yang nggak bisa dipercaya https://t.co/hJAOgUKCti,sanaviera
Tue Feb 13 23:50:38 +0000 2024,pak ganjar harusnya gojo satoru,Nuruulans
Tue Feb 13 23:50:31 +0000 2024,@pip64790 @M45Broo Jangal lupa ganjar mahfud,Lexi94653899
Tue Feb 13 23:50:28 +0000 2024,@liputan6dotcom Bro kalau Anies kalah di putaran pertama mending cari alternatif yang lebih kece kayaknya misalnya pindah dukung Ganjar. https://t.co/58aybvAmU0,tipannyyy
Tue Feb 13 23:50:22 +0000 2024,@tvOneNews tetap pada prinsip sih kalau anies kalah bakalan dukung ganjar. anti prabowo https://t.co/edjn4ujYPf,reidumpiez
Tue Feb 13 23:50:22 +0000 2024,Santai tapi selalu siap bertarung untuk rakyat . Ganjar Pranowo karena kamu berhak mendapatkan yang terbaik @n_ichzz #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/27YEXAJ1u5,chelseabelleryy
Tue Feb 13 23:50:15 +0000 2024,@CNNIndonesia Yuk amin aja dulu kita. Kalau kalah bisa ke pak ganjar yg penting bukan ke 02 sih. poinnya itu. https://t.co/koSJ8nl7Mc,adibahazzahra_
