created_at,full_text,username
Tue Feb 13 23:59:26 +0000 2024,@kegblgnunfaedh Sunda empire hanyalah agen kami mereka hanya menerima perintah dari kami kami adalah black agen dan yang menang adalah Prabowo,rakunmerah14
Tue Feb 13 23:59:18 +0000 2024,Ayo kita lakukan #02JariUngu dan menangkan no 02 @prabowo @jokowi @gibran_tweet https://t.co/lLgU2nt9G7,vladilena353
Tue Feb 13 23:59:18 +0000 2024,mari kita bersama-sama menuju tps dengan mencoblos @prabowo @gibran_tweet yaawww kita kawal juga kemenangan mereka dalam satu kali putaran! salam #02JariUngu https://t.co/nM2PUiSZSR,bzarbzir
Tue Feb 13 23:59:15 +0000 2024,@syalalaela @prabowo @gibran_tweet udhh siap bangett dong #02JariUngu,_00livv
Tue Feb 13 23:59:12 +0000 2024,@DelimaNafiah @prabowo @gibran_tweet AMIN menang satu putaran,YosefBatusangk1
Tue Feb 13 23:59:07 +0000 2024,@tvOneNews Laporkan dan cari ya.... jangan coba2 playing victim. Kawan homonya prabowo ini,AprianSanb35745
Tue Feb 13 23:59:07 +0000 2024,@syalalaela @prabowo @gibran_tweet Rela bangun subuh dan langsung pke baju blue sky buat coblos pak Wowo dan mas Samsul nihh #02JariUngu,gugun756096
Tue Feb 13 23:58:51 +0000 2024,@syalalaela @prabowo @gibran_tweet mari dukung dan kawal terus #02JariUngu,ShibalshibalS
Tue Feb 13 23:58:51 +0000 2024,sudah saatnya nih yuk gaskan kita coblos @prabowo @gibran_tweet #02JariUngu https://t.co/371Q3PltMI,moanjunee
Tue Feb 13 23:58:50 +0000 2024,yuk gass ke TPS dan coblos pilihanmu mari kita menangkan @prabowo @gibran_tweet dan tunjukkan #02JariUngu https://t.co/zetU92RMAN,sityummie
Tue Feb 13 23:58:49 +0000 2024,@syalalaela @prabowo @gibran_tweet Yuk bangun yuk jangan lupa ya hari ini coblosan. . Cungkan #02JariUngu,nanaolelah
Tue Feb 13 23:58:48 +0000 2024,@AndreasSolusi Jika Pak Jokowi Dodo saja bisa berhati besar memasukan Pak Prabowo jadi Menhan seharusnya Pak Prabowo juga bisa berhati besar memasukan rivalnya @aniesbaswedan dan @ganjarpranowo . Jika konteksnya demi kepentingan bangsa urusan pribadi bisa dinomorduakan.,alwindara
Tue Feb 13 23:58:48 +0000 2024,yuk bisa yuk hari ini coblos @prabowo dan @gibran_tweet untuk menyukseskan mereka dalam kemenangannya satu putaran! salam #02JariUngu everyone https://t.co/HUAauzpZ4t,holahoppi
Tue Feb 13 23:58:48 +0000 2024,kemenangan di depan mata yuk acungkan #02JariUngu hari ini @prabowo https://t.co/sPRIPeLjnP,Hasanmnr
Tue Feb 13 23:58:47 +0000 2024,@sharpandshark Kalo 02 menang maka neo orde baru tiba semoga Prabowo Gibran kalah lagi,kawitah79
Tue Feb 13 23:58:43 +0000 2024,Dari tahun 2014 lalu di tahun 2019 akan terulang kekalahan Prabowo di tahun 2024. Masyarakat sudah menentukan 2 kali Pilpres dan apa yang terjadi akan sama di tahun ini. ************************************,Sarkawi95291207
Tue Feb 13 23:58:39 +0000 2024,@hnurwahid Salam DUA JARI ️️️ PRABOWO GIBRAN,BusbusKalang
Tue Feb 13 23:58:38 +0000 2024,mari tunjukkan #02JariUngu kita setelah memilih pemimpin terbaik di Indonesia @prabowo @gibran_tweet https://t.co/AyzmflsAGw,glossherea
Tue Feb 13 23:58:37 +0000 2024,@syalalaela @prabowo @gibran_tweet mantap gas kan #02JariUngu,rinaaaajaaa
Tue Feb 13 23:58:35 +0000 2024,@syalalaela @prabowo @gibran_tweet Udah siap bangett dong jangan lupa ya #02JariUngu,LlySoo81688
Tue Feb 13 23:58:33 +0000 2024,@99propaganda @prabowo Kami pecinta pak Ganjar pemimpin terkuat sepanjang masa https://t.co/jnpFKOU49g,PaniLeoni
Tue Feb 13 23:58:32 +0000 2024,@syalalaela @prabowo @gibran_tweet salam #02JariUngu kawal sampai menang,ndoldawet3
Tue Feb 13 23:58:31 +0000 2024,Mari kita datang ke TPS kita masing2 dan pasti kan bahwa pilihan kita tepat @prabowo #02JariUngu https://t.co/ofMtjl21mz,Jakaray468
Tue Feb 13 23:58:29 +0000 2024,@syalalaela @prabowo @gibran_tweet Gasss. Ini hari kemenangan kitaaa #02JariUngu,alyssaahereeee
Tue Feb 13 23:58:29 +0000 2024,jangan lupa pagi ini ke tps dan acungkan #02JariUngu kalian @prabowo https://t.co/Pc1t8wna5H,Sarahwrdd
Tue Feb 13 23:58:29 +0000 2024,Kalau kalian memang secinta itu dengan Pak Prabowo tolong jangan biarkan ia kenang Pilpres. Karena ia hanya akan semakin dimanfaatkan para penguasa dinasti negara ini. Lebih baik ia kalah agar bisa bebas kembali berdiri tegap ketimbang menang namun selamanya menjadi badut.,spinadrosula
Tue Feb 13 23:58:28 +0000 2024,@syalalaela @prabowo @gibran_tweet Siap memberikan kemenangan untuk Gemoy-samsul mwehhee #02JariUngu,eno1616658
Tue Feb 13 23:58:22 +0000 2024,@syalalaela @prabowo @gibran_tweet Ayo semangat merapat ke TPS buat kawal #02JariUngu,Cafekuring
Tue Feb 13 23:58:20 +0000 2024,Yok semuanya datang ke TPS dan kawal kemenangan @prabowo @gibran_tweet #02JariUngu https://t.co/pcR0PJkuda,Thisism15197609
Tue Feb 13 23:58:20 +0000 2024,ke tps coblos nomor 2 ya gaiss salam #02JariUngu dari anak muda supaya @prabowo @gibran_tweet menang satu putaran https://t.co/7t9MHuSC6l,ihatenishsa
Tue Feb 13 23:58:00 +0000 2024,Jangan lupa pilih pak gemoy @prabowo dan mas @gibran_tweet untuk perubahan yang nyata #02JariUngu https://t.co/r7l2xZdqdr,gabinirwan
Tue Feb 13 23:58:00 +0000 2024,Gaspol jangan lupaa buat coblos pak @prabowo dan @gibran_tweet buat indonesia lebih majuu jangan lupa buat ke TPS dan #02JariUngu https://t.co/u1OS2JTJkA,punyaecan_
Tue Feb 13 23:57:59 +0000 2024,@NoviBudi78 @prabowo Aamiin smg yg berbuat curang kena bala dan bahaya serta dijatuhi hukuman yang setimpal. Amin,sandinurdin
Tue Feb 13 23:57:58 +0000 2024,@dhemit_is_back Desak anies Gelar tikar ganjar Podkes prabowo,txtfrommeong
Tue Feb 13 23:57:58 +0000 2024,@liputan6dotcom Mari tunggu berita kemenangan total Prabowo Gibran https://t.co/hIAOchLJXw,kamianimania
Tue Feb 13 23:57:56 +0000 2024,The Dayyy yuk gunakan suara kita untuk pemimpin Indonesia bersama @prabowo @gibran_tweet #02JariUngu https://t.co/6eN1s7gxiV,ChanCha2406
