conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1757433611501150492,Tue Feb 13 23:59:26 +0000 2024,0,@kegblgnunfaedh Sunda empire hanyalah agen kami mereka hanya menerima perintah dari kami kami adalah black agen dan yang menang adalah Prabowo,1757555108022518167,,kegblgnunfaedh,in,,0,0,0,https://x.com/rakunmerah14/status/1757555108022518167,1747920670649118720,rakunmerah14
1757555075013329256,Tue Feb 13 23:59:18 +0000 2024,0,Ayo kita lakukan #02JariUngu dan menangkan no 02 @prabowo @jokowi @gibran_tweet https://t.co/lLgU2nt9G7,1757555075013329256,https://pbs.twimg.com/media/GGQXBp2bgAAYyW4.jpg,,in,,0,0,0,https://x.com/vladilena353/status/1757555075013329256,1597753450653437952,vladilena353
1757555073864094190,Tue Feb 13 23:59:18 +0000 2024,0,mari kita bersama-sama menuju tps dengan mencoblos @prabowo @gibran_tweet yaawww kita kawal juga kemenangan mereka dalam satu kali putaran! salam #02JariUngu https://t.co/nM2PUiSZSR,1757555073864094190,https://pbs.twimg.com/media/GGQXBl_bsAAmx0x.jpg,,in,Indonesia,0,0,0,https://x.com/bzarbzir/status/1757555073864094190,1741285063743152128,bzarbzir
1757550572117627147,Tue Feb 13 23:59:15 +0000 2024,0,@syalalaela @prabowo @gibran_tweet udhh siap bangett dong #02JariUngu,1757555063189569544,,syalalaela,in,,0,0,0,https://x.com/_00livv/status/1757555063189569544,1705076638122450944,_00livv
1757554274039656569,Tue Feb 13 23:59:12 +0000 2024,0,@DelimaNafiah @prabowo @gibran_tweet AMIN menang satu putaran,1757555051319721995,,DelimaNafiah,in,,0,0,0,https://x.com/YosefBatusangk1/status/1757555051319721995,1596354525274681344,YosefBatusangk1
1757396969801269367,Tue Feb 13 23:59:07 +0000 2024,0,@tvOneNews Laporkan dan cari ya.... jangan coba2 playing victim. Kawan homonya prabowo ini,1757555030478188918,,tvOneNews,in,"Bandung, Jawa Barat",0,0,0,https://x.com/AprianSanb35745/status/1757555030478188918,1716742706041602048,AprianSanb35745
1757550572117627147,Tue Feb 13 23:59:07 +0000 2024,2,@syalalaela @prabowo @gibran_tweet Rela bangun subuh dan langsung pke baju blue sky buat coblos pak Wowo dan mas Samsul nihh #02JariUngu,1757555028091654236,,syalalaela,in,,0,0,0,https://x.com/gugun756096/status/1757555028091654236,1706153317502685184,gugun756096
1757550572117627147,Tue Feb 13 23:58:51 +0000 2024,1,@syalalaela @prabowo @gibran_tweet mari dukung dan kawal terus #02JariUngu,1757554963612680684,,syalalaela,in,,0,0,0,https://x.com/ShibalshibalS/status/1757554963612680684,1706568181131931648,ShibalshibalS
1757554962295578795,Tue Feb 13 23:58:51 +0000 2024,0,sudah saatnya nih yuk gaskan kita coblos @prabowo @gibran_tweet #02JariUngu https://t.co/371Q3PltMI,1757554962295578795,https://pbs.twimg.com/media/GGQW6iHbEAAmzlN.jpg,,in,,0,0,0,https://x.com/moanjunee/status/1757554962295578795,1736420656982695936,moanjunee
1757554958013182195,Tue Feb 13 23:58:50 +0000 2024,0,yuk gass ke TPS dan coblos pilihanmu mari kita menangkan @prabowo @gibran_tweet dan tunjukkan #02JariUngu https://t.co/zetU92RMAN,1757554958013182195,https://pbs.twimg.com/media/GGQW6Pwa0AAzAk9.jpg,,in,Indonesia,0,0,0,https://x.com/sityummie/status/1757554958013182195,1748325356908756992,sityummie
1757550572117627147,Tue Feb 13 23:58:49 +0000 2024,2,@syalalaela @prabowo @gibran_tweet Yuk bangun yuk jangan lupa ya hari ini coblosan. . Cungkan #02JariUngu,1757554952266997844,,syalalaela,in,Indonesia,0,0,0,https://x.com/nanaolelah/status/1757554952266997844,1593275112606040064,nanaolelah
