full_text,cleasing,case_folding,normalisasi,tokenize,filtering/stopword removal,label
@aniesbaswedan @msaid_didu Pak anies sekarang kalau kampanye kok suka nyinyir,Pak anies sekarang kalau kampanye kok suka nyinyir,pak anies sekarang kalau kampanye kok suka nyinyir,pak anies sekarang kalau kampanye kok suka nyinyir,"['pak', 'anies', 'sekarang', 'kalau', 'kampanye', 'kok', 'suka', 'nyinyir']","['anies', 'kampanye', 'suka', 'nyinyir']",Negatif
@SumitroYoel Prinsip berpolitik yang penting anti PDIP dan Jokowi. Tapi selain itu ya Anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih.,Prinsip berpolitik yang penting anti PDIP dan Jokowi Tapi selain itu ya Anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih,prinsip berpolitik yang penting anti pdip dan jokowi tapi selain itu ya anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih,prinsip berpolitik yang penting anti pdip dan jokowi tapi selain itu ya anies membuka ruang dialog untuk kritik itu nilai tambah selain emang dirinya orang yang cerdas sih,"['prinsip', 'berpolitik', 'yang', 'penting', 'anti', 'pdip', 'dan', 'jokowi', 'tapi', 'selain', 'itu', 'ya', 'anies', 'membuka', 'ruang', 'dialog', 'untuk', 'kritik', 'itu', 'nilai', 'tambah', 'selain', 'emang', 'dirinya', 'orang', 'yang', 'cerdas', 'sih']","['prinsip', 'berpolitik', 'anti', 'pdip', 'jokowi', 'ya', 'anies', 'membuka', 'ruang', 'dialog', 'kritik', 'nilai', 'emang', 'orang', 'cerdas', 'sih']",Positif
@chitattooes Di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,Di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,di postingan semua medsos isinya banyak hate komen lebih parah lagi td baca tweet lama pak anies tahun 2017 komentarnya kasar kebanyakan fitnah biarpun udh di klarifikasi langsung,"['di', 'postingan', 'semua', 'medsos', 'isinya', 'banyak', 'hate', 'komen', 'lebih', 'parah', 'lagi', 'td', 'baca', 'tweet', 'lama', 'pak', 'anies', 'tahun', '2017', 'komentarnya', 'kasar', 'kebanyakan', 'fitnah', 'biarpun', 'udh', 'di', 'klarifikasi', 'langsung']","['postingan', 'medsos', 'isinya', 'hate', 'komen', 'parah', 'td', 'baca', 'tweet', 'anies', '2017', 'komentarnya', 'kasar', 'kebanyakan', 'fitnah', 'biarpun', 'udh', 'klarifikasi', 'langsung']",Negatif
@SumitroYoel Pak Anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn PKS emang antum @PKSejahtera harus memperbaiki citra *chanda ya ,Pak Anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn PKS emang antum harus memperbaiki citra chanda ya,pak anies gak bisa disetir partai oren padahal apa yg dikerjakan pak anies memang sejalan dgn pks emang antum harus memperbaiki citra chanda ya,pak anies gak bisa disetir partai oren padahal apa yang dikerjakan pak anies memang sejalan dgn pks emang antum harus memperbaiki citra chanda ya,"['pak', 'anies', 'gak', 'bisa', 'disetir', 'partai', 'oren', 'padahal', 'apa', 'yang', 'dikerjakan', 'pak', 'anies', 'memang', 'sejalan', 'dgn', 'pks', 'emang', 'antum', 'harus', 'memperbaiki', 'citra', 'chanda', 'ya']","['anies', 'gak', 'disetir', 'partai', 'oren', 'anies', 'sejalan', 'dgn', 'pks', 'emang', 'antum', 'memperbaiki', 'citra', 'chanda', 'ya']",Netral
@SumitroYoel Njir masih aja partai orens kena hatred.. ngeri sih.. padahal sama-sama di demonisasi kyk pak Anies...,Njir masih aja partai orens kena hatred ngeri sih padahal samasama di demonisasi kyk pak Anies,njir masih aja partai orens kena hatred ngeri sih padahal samasama di demonisasi kyk pak anies,njir masih aja partai orens kena hatred ngeri sih padahal samasama di demonisasi kyk pak anies,"['njir', 'masih', 'aja', 'partai', 'orens', 'kena', 'hatred', 'ngeri', 'sih', 'padahal', 'samasama', 'di', 'demonisasi', 'kyk', 'pak', 'anies']","['njir', 'aja', 'partai', 'orens', 'kena', 'hatred', 'ngeri', 'sih', 'samasama', 'demonisasi', 'kyk', 'anies']",Netral
@700juta @PolJokesID Kaum ngeyel kurang banyak apa Pak Anies difitnah... Sana sini dikritik sana sini...dipaidho sana sini... Rileks aja... Dibuktikan dg karya dan prestasi... Lhah ini fakta rakyat juga tau.. palagi yg melek politik dan perkembangan hukum di Indo... Masih ngeyel aja,Kaum ngeyel kurang banyak apa Pak Anies difitnah Sana sini dikritik sana sinidipaidho sana sini Rileks aja Dibuktikan dg karya dan prestasi Lhah ini fakta rakyat juga tau palagi yg melek politik dan perkembangan hukum di Indo Masih ngeyel aja,kaum ngeyel kurang banyak apa pak anies difitnah sana sini dikritik sana sinidipaidho sana sini rileks aja dibuktikan dg karya dan prestasi lhah ini fakta rakyat juga tau palagi yg melek politik dan perkembangan hukum di indo masih ngeyel aja,kaum ngeyel kurang banyak apa pak anies difitnah sana sini dikritik sana sinidipaidho sana sini rileks aja dibuktikan dg karya dan prestasi lhah ini fakta rakyat juga tau palagi yang melek politik dan perkembangan hukum di indo masih ngeyel aja,"['kaum', 'ngeyel', 'kurang', 'banyak', 'apa', 'pak', 'anies', 'difitnah', 'sana', 'sini', 'dikritik', 'sana', 'sinidipaidho', 'sana', 'sini', 'rileks', 'aja', 'dibuktikan', 'dg', 'karya', 'dan', 'prestasi', 'lhah', 'ini', 'fakta', 'rakyat', 'juga', 'tau', 'palagi', 'yang', 'melek', 'politik', 'dan', 'perkembangan', 'hukum', 'di', 'indo', 'masih', 'ngeyel', 'aja']","['kaum', 'ngeyel', 'anies', 'difitnah', 'dikritik', 'sinidipaidho', 'rileks', 'aja', 'dibuktikan', 'dg', 'karya', 'prestasi', 'lhah', 'fakta', 'rakyat', 'tau', 'palagi', 'melek', 'politik', 'perkembangan', 'hukum', 'indo', 'ngeyel', 'aja']",Positif
Lihat video Fans Anies Rasyid Baswedan! #TikTok https://t.co/JrVbtZL9kE,Lihat video Fans Anies Rasyid Baswedan,lihat video fans anies rasyid baswedan,lihat video fans anies rasyid baswedan,"['lihat', 'video', 'fans', 'anies', 'rasyid', 'baswedan']","['lihat', 'video', 'fans', 'anies', 'rasyid', 'baswedan']",Netral
Tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini. MAHKAMAH KONSTITUSI pun serasa milik keluarga. KALO LU MERASAKAN ORDE BARU JOKOWI INI LEBIH PARAH DARI ORDE BARU. @RKinayung,Tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini MAHKAMAH KONSTITUSI pun serasa milik keluarga KALO LU MERASAKAN ORDE BARU JOKOWI INI LEBIH PARAH DARI ORDE BARU,tau gak lebih parah parah gerombolan yg sdh merubah demokrasi drpd bendera ini mahkamah konstitusi pun serasa milik keluarga kalo lu merasakan orde baru jokowi ini lebih parah dari orde baru,tau gak lebih parah parah gerombolan yang sudah merubah demokrasi drpd bendera ini mahkamah konstitusi pun serasa milik keluarga kalau lu merasakan orde baru jokowi ini lebih parah dari orde baru,"['tau', 'gak', 'lebih', 'parah', 'parah', 'gerombolan', 'yang', 'sudah', 'merubah', 'demokrasi', 'drpd', 'bendera', 'ini', 'mahkamah', 'konstitusi', 'pun', 'serasa', 'milik', 'keluarga', 'kalau', 'lu', 'merasakan', 'orde', 'baru', 'jokowi', 'ini', 'lebih', 'parah', 'dari', 'orde', 'baru']","['tau', 'gak', 'parah', 'parah', 'gerombolan', 'merubah', 'demokrasi', 'drpd', 'bendera', 'mahkamah', 'konstitusi', 'serasa', 'milik', 'keluarga', 'lu', 'merasakan', 'orde', 'jokowi', 'parah', 'orde']",Negatif
@o123Typo @projectm_org @deduktif_id @JARING_ 1. Oligarki itu sebuah bentuk pemerintahan/kekuasaan. Yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata; aniesbubble dan kerelawanan yg lain. Bukti : desak anies kampanye akbar jis (ga pakai duit) 2. Memang tapi mereka bukan yg,1 Oligarki itu sebuah bentuk pemerintahankekuasaan Yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata aniesbubble dan kerelawanan yg lain Bukti desak anies kampanye akbar jis ga pakai duit 2 Memang tapi mereka bukan yg,1 oligarki itu sebuah bentuk pemerintahankekuasaan yg dilakukan 01 hanya mengakomodasi kepentingan mulai dari yg punya modal sampai yg jelata aniesbubble dan kerelawanan yg lain bukti desak anies kampanye akbar jis ga pakai duit 2 memang tapi mereka bukan yg,1 oligarki itu sebuah bentuk pemerintahankekuasaan yang dilakukan 01 hanya mengakomodasi kepentingan mulai dari yang punya modal sampai yang jelata aniesbubble dan kerelawanan yang lain bukti desak anies kampanye akbar jis ga pakai duit 2 memang tapi mereka bukan yang,"['1', 'oligarki', 'itu', 'sebuah', 'bentuk', 'pemerintahankekuasaan', 'yang', 'dilakukan', '01', 'hanya', 'mengakomodasi', 'kepentingan', 'mulai', 'dari', 'yang', 'punya', 'modal', 'sampai', 'yang', 'jelata', 'aniesbubble', 'dan', 'kerelawanan', 'yang', 'lain', 'bukti', 'desak', 'anies', 'kampanye', 'akbar', 'jis', 'ga', 'pakai', 'duit', '2', 'memang', 'tapi', 'mereka', 'bukan', 'yang']","['1', 'oligarki', 'bentuk', 'pemerintahankekuasaan', '01', 'mengakomodasi', 'kepentingan', 'modal', 'jelata', 'aniesbubble', 'kerelawanan', 'bukti', 'desak', 'anies', 'kampanye', 'akbar', 'jis', 'ga', 'pakai', 'duit', '2']",Netral
@pastacikin Ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang Yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in Sumpah emg bener SDM kita tidak siap punya pemimpin kyk pak Anies,Ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang Yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in Sumpah emg bener SDM kita tidak siap punya pemimpin kyk pak Anies,ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in sumpah emg bener sdm kita tidak siap punya pemimpin kyk pak anies,ya ampun ini sama banget komennya temenku barusan ada calon pemimpin yang jago public speaking di bilang pinter ngmong doang yha daripada di publik cuman bisa planga plongo dan hah hoh doang kan lebih malu2in sumpah emg bener sdm kita tidak siap punya pemimpin kyk pak anies,"['ya', 'ampun', 'ini', 'sama', 'banget', 'komennya', 'temenku', 'barusan', 'ada', 'calon', 'pemimpin', 'yang', 'jago', 'public', 'speaking', 'di', 'bilang', 'pinter', 'ngmong', 'doang', 'yha', 'daripada', 'di', 'publik', 'cuman', 'bisa', 'planga', 'plongo', 'dan', 'hah', 'hoh', 'doang', 'kan', 'lebih', 'malu2in', 'sumpah', 'emg', 'bener', 'sdm', 'kita', 'tidak', 'siap', 'punya', 'pemimpin', 'kyk', 'pak', 'anies']","['ya', 'ampun', 'banget', 'komennya', 'temenku', 'barusan', 'calon', 'pemimpin', 'jago', 'public', 'speaking', 'bilang', 'pinter', 'ngmong', 'doang', 'yha', 'publik', 'cuman', 'planga', 'plongo', 'hah', 'hoh', 'doang', 'malu2in', 'sumpah', 'emg', 'bener', 'sdm', 'pemimpin', 'kyk', 'anies']",Negatif
