result-preprocessing,label
anies kampanye suka nyinyir,Negatif
prinsip politik anti pdip jokowi ya anies buka ruang dialog kritik nilai emang orang cerdas sih,Positif
postingan medsos isi hate komen parah td baca tweet anies 2017 komentar kasar banyak fitnah biarpun udh klarifikasi langsung,Negatif
anies gak setir partai oren anies jalan dgn pks emang antum baik citra chanda ya,Netral
njir aja partai orens kena hatred ngeri sih samasama demon kyk anies,Netral
kaum ngeyel anies fitnah kritik sinidipaidho rileks aja bukti dg karya prestasi lhah fakta rakyat tau palagi melek politik kembang hukum indo ngeyel aja,Positif
lihat video fans anies rasyid baswedan,Netral
tau gak parah parah gerombol rubah demokrasi drpd bendera mahkamah konstitusi serasa milik keluarga lu rasa orde jokowi parah orde,Negatif
1 oligarki bentuk pemerintahankekuasaan 01 akomodasi penting modal jelata aniesbubble rawan bukti desak anies kampanye akbar jis ga pakai duit 2,Netral
ya ampun banget komennya temenku barusan calon pimpin jago public speaking bilang pinter ngmong doang yha publik cuman planga plongo hah hoh doang malu2in sumpah emg bener sdm pimpin kyk anies,Negatif
terima kasih buzzer2 jahat 02 demon rohingya jujur sy jg blm tau milih sy ga tau sm rekam jejak anies dulunya jg percaya anies cm bs ngomong gabisa kerja rame isu rohingya akun,Negatif
pro anies ajah mah hasil nya muas dukung 1 paslon gama,Positif
cuman gara gara film ubah pilih pilih cuman anies lg bener aje rugi dongg,Netral
org2 permasalahin belakang anies pks anies jabat gubernur pks ga aneh2 noh 03 pdi ngaco partai cilik tai teriak cilik oposisi doang gilir koalisi pas bijak ga beres diem,Netral
bilang gue dewa anies gue ngutip ya kali gue fanatik buta sampe dewa gue tau beliau politikus ttp aja kurang gue udh buka ruang kecewa utk beliau sampe gk sesuai dg ucap,Positif
anies baik gak pernh dukung paslon 2 menang kalah putar dukung 3,Positif
anies harga hukum salah baca beliau jabat gubernur pemprov dki gugat kait sengketa adil putus pemprov dki salah wajib bayar ganti rugi anies hormat putus adil,Positif
kader partai kpgn gibran anies kunjung solo mampir tp gibran sndiri blg ga ngomongin politik tp ngomongin ttg kembang kota dll ya kyk anies tamu gitu trus y sambut ama gibran tp anies gibran cawapres ga jwbnya,Netral
perempuan mata abah anies perempuan mulia lindung keras perempuan sepele,Positif
h1 guys ayo siap coblos anies prabowo presiden presiden dukung sepenuh hati pilih beda jiwa jiwa pancasila jiwa indonesia,Netral
butuh sosok anies pimpin terus dinasti,Positif
salfok anies jargon kalah tuh emang ya,Netral
amin menang pa anies bawa cak imin sowan diri lengser belio,Netral
orang2 nih kasih standart anies standartnya rosul sahabat2nya mesti 100 sempurna,Netral
bener ya framing muslim ga jalan ama perintah jelek kpk anies pks tuduh talibanekstrimis alas dilengserin,Negatif
anies depan etika ayom hormat rakyat anies debat ubah fakta belaiu hasil rubah dijakarta,Positif
kurang hormat isi acara ngebuktiin massa dateng gak peduli hibur orang tuju ya liat anies cak imin wkwkw tuju capai ya pulang,Positif
ya allah jadi anies baswedan presiden iniaamin,Positif
emang bener pilih gue anies only,Positif
bikin anies menang putar 2 prabowo pk prabowo dateng langsung tempat anies kalah putar,Netral
gaspolkan dukung anies,Positif
insyaallah menang paslon 01 mata besok 14 februari ber1 wujud ubah indonesia lbh coblos nomor urut 1 anies muhaimin,Positif
anies ajal ga tau pimpin dukung nya kena musibah harun bawa bawa debat musibah ga tau,Netral
hadeh 02 saking anies prestasi bingung liat lg imam mahdi eh tau hoax,Positif
salam ubah dukung anies muhaimin gk duku 02 mending kalah,Positif
si gibran pas wawancara bilang tawar pan anies trus berijutnya wartawan konfirm anies inti umur blm masuk mah nurut konstitusi aja besok2nya sebar anies gibran tolak,Netral
balik halhal kreatif anies terimakasih keren,Positif
dukung anies baik sampe kalah sih pilih 03 dri 02,Positif
anies kalah mending dukung aja,Netral
gibran seworth direbutin nunggu2 tawar anies lawak lu,Netral
anies gapernah bilang hasil karya beliau sll bilang hasil karya anak bangsa fakta 100 orang lokal btw situ oot konteks lg bahas bantu sosial,Positif
anies putar pilih,Positif
pilih anies indonesia,Positif
anies kalah yuk dukung deh bagus,Netral
gue rasa skrg ken anies menang sisi gue takut blio presiden coba idupnya gubernur aja fitnah blio udh gilagilaan jegal apa hasil moga baik rakyat anies,Positif
lahh maen framing ahog senggol senggol kitab suci umat islam ngapa anies sasar mah bego nama lempar batu disalahin fix ahoker berat moga tobat,Negatif
anies baswedan aja track recordnya bagus prestasi aku dunia wowo gk prestasi jejak hitam usak lingkung food estate gagal uban hobbynya gak banget gak bagus jadi panutan pimpin negara,Positif
alih anies gak menang prabowo aja,Netral
stori trus backsoundnya mahabarata beliau sengkuni karna mimik muka wajah anies anies wqwqwq,Netral
ya 02 sih mending pilih 03 anies kalah,Netral
testi real gak suka anies ya framing beliau pinter ngomong doang dll libat asa dukung paslon 02 but i realize pake asa gak make sense indo 5 depan cont,Negatif
anies kalah tolong websitenya hapus ya bayar domain nya mahal huhu website,Netral
med dukung 01 mayoritas mas anies hibur mas anis beransgur pulang azan dzuhur,Positif
salah cuplik anies tugas umum berita duka kelas smp latih public speaking tahan hadap orang ngatangatain,Positif
golput kalopunya anies,Positif
wkwkwk gk nyari kurang nyerang narasi basi keluar segitu takut gemetar anies smpe isi istana turun gunung cupuuu banciii antem ngajak2 emak akwkwkw banci,Negatif
anies sebal imin gamau cap gemoysian prabowo subianto nyengir aja liat elektabilitasnya turun kasi banget baby sitter,Negatif
anies hrs sempurna dukung hrs sempurna ttp aja mrk milih laen wkwk,Netral
hubung pemuda pancasila sm anies baswedan pp bikin orba lbh condong prabowo,Netral
kader nasdem ken gibran cawapresnya anies kaya tp anies mah gak,Netral
damn i want to throw the are you fucking blind card to her so bad dekat anies diskriminasi udah mayoritas minoritas wni none above the law hukum pasti amp adil it did translate on his governor era,Positif
untung keluarga gue 1 pilih anies 1 keluarga buyut sampe nene wkwkwk yaa karna orang jakarta si ngerasain gimana program anies hihi loveeee abah,Positif
golput mending pilih anies,Positif
w udh titik gapapa legowo anies kalah this cruel world doesn t deserve him usaha sbnrnya dr udh liat menang siape,Netral
