"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774949863425540496","Mon Apr 01 23:59:59 +0000 2024","0","Kemenangan Prabowo-Gibran karena Narasi Keberlanjutan Bukan Bansos https://t.co/WmoWexnx6D","1774949863425540496","","","in","","0","0","0","https://x.com/yusrimel43768/status/1774949863425540496","1755514865710751744","yusrimel43768"
"1774737866612248730","Mon Apr 01 23:59:50 +0000 2024","1","@PribadiBales @Pemburu_Celeng @KompasTV @gibran_tweet Sayangnya mas Gibran sdh mampu menjadi walikota. Tanyakan ke masyarakat Solo. Sat set kerjanya. Mikiirrrr ","1774949825630642395","","PribadiBales","in","muter muter terus","0","1","0","https://x.com/AbbasciputAbbas/status/1774949825630642395","1047768018","AbbasciputAbbas"
"1774949675722059877","Mon Apr 01 23:59:14 +0000 2024","0","Jawab Tudingan Penunjukan Pj Kepala Daerah untuk Prabowo-Gibran Yusril: Kenapa PDIP Tak Tolak Apa Ikut Konspirasi? https://t.co/AKH0bxm9e6","1774949675722059877","","","in","","0","0","0","https://x.com/yusrimel43768/status/1774949675722059877","1755514865710751744","yusrimel43768"
"1774842032110100642","Mon Apr 01 23:59:13 +0000 2024","0","@are_inismyname @gibran_tweet @bengkeldodo @Ndons_Back @P4P4B0W0_2024 @99propaganda @zy_zy_its_me @Kimberley_PS08 @florieliciouss @genx36545403 @Royan_02 @MIrvanDarwin1 Itu yang di tangkap karna korupsi apa karna Gibran","1774949674379890863","","are_inismyname","in","","0","0","0","https://x.com/nadifaja/status/1774949674379890863","1439220083822247940","nadifaja"
"1774643307517472856","Mon Apr 01 23:58:58 +0000 2024","0","@by_samarkand @Maruahalsiahaa2 @aniesbaswedan Betul juga dia apakah masuk akal Anies dan Ganjar minta pemilihan ulang tanpa 02 dia pikir ini negaranya sendirikah dasar ambisi mau jadi Presiden pada hal rakyat tak pilih masalahkan umur Gibran napa Gibran menang baru di masalakan napa ngak saat pendaftaran dulu di tolak bodok","1774949609510781240","","by_Samarkand","in","Papua, Indonesia","0","0","0","https://x.com/LutherKala/status/1774949609510781240","1537990552645681152","LutherKala"
"1774786217848291721","Mon Apr 01 23:57:24 +0000 2024","0","@are_inismyname @gibran_tweet @prabowo @bengkeldodo @P4P4B0W0_2024 @Ndons_Back @Bank_Joee_ @99propaganda @florieliciouss @Kimberley_PS08 @zy_zy_its_me @mimih6mei @IrawanRommi Yg ilegal cabut ijinnya?sampai saat ini seperti mobil esemka gak keliatan wujudnya","1774949216114417821","","are_inismyname","in","","0","0","0","https://x.com/haikal_ihsan/status/1774949216114417821","472814844","haikal_ihsan"
"1774737866612248730","Mon Apr 01 23:57:14 +0000 2024","1","@KompasTV Cangkem bosok @gibran_tweet","1774949172246163706","","KompasTV","in","","0","0","0","https://x.com/Zackf77156873/status/1774949172246163706","1166975890569318400","Zackf77156873"
"1774949151467540713","Mon Apr 01 23:57:09 +0000 2024","3","Pada akhir April keluarga Pak Jokowi sudah memutuskan Mas Gibran menjadi cawapres. https://t.co/cgJClgaLNs","1774949151467540713","","","in","Jakarta, Indonesia","0","0","1","https://x.com/republikaonline/status/1774949151467540713","22126902","republikaonline"
"1774736195836404136","Mon Apr 01 23:56:39 +0000 2024","0","@tham878 @Yusrilihza_Mhd Yg dipermasalahkan adalah keabsahan Gibran jadi cawapres.","1774949025177018562","","tham878","in","","0","0","0","https://x.com/JHSinurat/status/1774949025177018562","1195870361813798913","JHSinurat"
"1774853706753921209","Mon Apr 01 23:56:34 +0000 2024","1","@yosephrosario_ @EL_Mascotte @Royan_02 @JordanMihaf @Ndons_Back @MakeItAQuoteJP @MakeItAQuoteKR @HaloBCA @IndosatCare @sehatAQUA @are_inismyname Yang pelupa gibran yg bodoh penjilatnya","1774949005920960684","","yossrsro","in","Kingdom of Saudi Arabia","0","2","0","https://x.com/dwi_cahyonod/status/1774949005920960684","1628900477181263872","dwi_cahyonod"
"1774786217848291721","Mon Apr 01 23:56:14 +0000 2024","0","@are_inismyname @gibran_tweet @prabowo @bengkeldodo @P4P4B0W0_2024 @Ndons_Back @Bank_Joee_ @99propaganda @florieliciouss @Kimberley_PS08 @zy_zy_its_me @mimih6mei @IrawanRommi Yg didukung sm yg dukung sama2 . Begonya i mean ","1774948922693468483","","are_inismyname","in","","0","0","0","https://x.com/vousmeyezk/status/1774948922693468483","4667643794","vousmeyezk"
"1774948786881835235","Mon Apr 01 23:55:42 +0000 2024","0","Gibran kan masih ngurusin kota Solo jadi gak selalu bersama lah ","1774948786881835235","","","in","East Java, Indonesia","0","0","0","https://x.com/abe_kitaro/status/1774948786881835235","109786455","abe_kitaro"
"1774786217848291721","Mon Apr 01 23:53:47 +0000 2024","0","@are_inismyname @gibran_tweet @prabowo @bengkeldodo @P4P4B0W0_2024 @Ndons_Back @Bank_Joee_ @99propaganda @florieliciouss @Kimberley_PS08 @zy_zy_its_me @mimih6mei @IrawanRommi Kacian deh loe. Nga ngerti kalo yg namanya ilegal. Belajar dulu ya mbak","1774948304373309898","","are_inismyname","in","","0","0","0","https://x.com/Lidya80352307/status/1774948304373309898","1095251413825839104","Lidya80352307"
"1774815931233141129","Mon Apr 01 23:53:45 +0000 2024","0","@Muhammad_Saewad pendukungnya @gibran_tweet","1774948296756543985","","Muhammad_Saewad","in","","0","0","0","https://x.com/dydyaa2/status/1774948296756543985","1607540257205137408","dydyaa2"
"1774807324865282218","Mon Apr 01 23:52:35 +0000 2024","0","@dehery13 @gaston11223 @arupha_00 @Didit3Ahmadi @zy_zy_its_me Bukan membela..tpi memberi pengajaran pengetahuan biar gak tolol2 banget....putarkembali apa yg dibilang gibran waktu debat..yg dicabut itu IUP..","1774948004572827883","","Tabrahamicon","in","","0","1","0","https://x.com/ADarmantyo/status/1774948004572827883","1578982363094097920","ADarmantyo"
"1773319396037189786","Mon Apr 01 23:52:14 +0000 2024","0","@ariefbudiawan7 @kurawa @prabowo @gibran_tweet @ZUL_Hasan Memangnya ada Visi Misi Menteri yg ada Visi Misi presiden ","1774947912860291209","","ariefbudiawan7","in","Wonogiri, Indonesia","0","0","0","https://x.com/Prince_MahaRock/status/1774947912860291209","277423834","Prince_MahaRock"
"1774817022934913483","Mon Apr 01 23:51:06 +0000 2024","1","@fajarnugros Gak bangga sy punya wapres kyk Gibran. Attitude ny sungguh2. Ngenyek2in Professor di debat pilpres yg ke-4...","1774947630113812807","","fajarnugros","in","Jakarta, Indonesia","0","5","0","https://x.com/agungtl/status/1774947630113812807","279900272","agungtl"
"1774947586497224725","Mon Apr 01 23:50:56 +0000 2024","0","Jawab Tudingan Penunjukan Pj Kepala Daerah untuk Prabowo-Gibran Yusril: Kenapa PDIP Tak Tolak Apa Ikut Konspirasi? https://t.co/TUms8Kthl4","1774947586497224725","","","in","","0","0","0","https://x.com/yusrimel43768/status/1774947586497224725","1755514865710751744","yusrimel43768"
"1774947460382921042","Mon Apr 01 23:50:26 +0000 2024","0","Saksi Ahli Amin Mengaitkan Pengangkatan Pj Kepala Daerah dengan Pemenangan Prabowo-Gibran https://t.co/Fl4WcW4tE3","1774947460382921042","","","in","","0","0","0","https://x.com/yusrimel43768/status/1774947460382921042","1755514865710751744","yusrimel43768"
